Project,FileName,ASMRV,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/Filter.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/WriteOptions.java,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
rocksdb-v5.18.3,java/rocksjni/portal.h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/Env.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/PlainTableConfig.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/ColumnFamilyOptions.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/SkipListMemTableConfig.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/StringAppendOperator.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/CassandraCompactionFilter.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/RemoveEmptyValueCompactionFilter.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/EnvOptions.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/MemoryUtil.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/WriteBufferManager.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
rocksdb-v5.18.3,java/rocksjni/transaction.cc,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/DirectComparator.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/NativeComparatorWrapper.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/Logger.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/AbstractSlice.java,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/BloomFilter.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/ColumnFamilyHandle.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/WriteBatch.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/HashSkipListMemTableConfig.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/FlushOptions.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/Comparator.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/WBWIRocksIterator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/DBOptions.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/OptionsUtil.java,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/RocksCallbackObject.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/TransactionLogIterator.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/BlockBasedTableConfig.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/OptimisticTransactionOptions.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/HashLinkedListMemTableConfig.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/RocksMemEnv.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/Snapshot.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/VectorMemTableConfig.java,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/Transaction.java,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/RestoreOptions.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/CassandraValueMergeOperator.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/RocksDB.java,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/TtlDB.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/AbstractCompactionFilter.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/ComparatorOptions.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/AbstractTransactionNotifier.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/test/java/org/rocksdb/NativeComparatorWrapperTest.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/LRUCache.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/Slice.java,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/Checkpoint.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/AbstractCompactionFilterFactory.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/ClockCache.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.18.3,java/src/test/java/org/rocksdb/WriteBatchTest.java,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
rocksdb-v5.18.3,java/src/main/java/org/rocksdb/UInt64AddOperator.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.17.2,java/src/main/java/org/rocksdb/Filter.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.17.2,java/src/main/java/org/rocksdb/WriteOptions.java,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rocksdb-v5.17.2,java/rocksjni/portal.h,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
rocksdb-v5.17.2,java/src/main/java/org/rocksdb/Env.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.17.2,java/src/main/java/org/rocksdb/PlainTableConfig.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
rocksdb-v5.17.2,java/src/main/java/org/rocksdb/ColumnFamilyOptions.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
rocksdb-v5.17.2,java/src/main/java/org/rocksdb/SkipListMemTableConfig.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
rocksdb-v5.17.2,java/src/main/java/org/rocksdb/OptimisticTransactionDB.java,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
