project,file,ASM,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed,previous_fixes,code_churn,loc
Monero-java-v0.8.36,src/main/java/monero/common/MoneroUtils.java,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,2,765
Monero-java-v0.8.36,src/main/java/monero/wallet/MoneroWalletFull.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1903
Monero-java-v0.8.36,src/main/cpp/monero_jni_bridge.cpp,7,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,6,0,2250
Monero-java-v0.8.37,src/main/java/monero/common/MoneroUtils.java,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,16,2,765
Monero-java-v0.8.37,src/main/java/monero/wallet/MoneroWalletFull.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1903
Monero-java-v0.8.37,src/main/cpp/monero_jni_bridge.cpp,7,0,0,0,5,0,15,0,0,0,0,0,0,0,0,1,7,10,2246
Monero-java-v0.8.17,src/main/java/monero/common/MoneroUtils.java,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,13,63,713
Monero-java-v0.8.17,src/main/java/monero/wallet/MoneroWalletFull.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1889
Monero-java-v0.8.17,src/main/cpp/monero_jni_bridge.cpp,7,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,6,0,2244
Monero-java-v0.8.9,src/main/java/monero/common/MoneroUtils.java,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,2,632
Monero-java-v0.8.9,src/main/java/monero/wallet/MoneroWalletFull.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,41,1889
Monero-java-v0.8.9,src/main/cpp/monero_jni_bridge.cpp,7,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,6,0,2245
Monero-java-v0.8.35,src/main/java/monero/common/MoneroUtils.java,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,16,2,765
Monero-java-v0.8.35,src/main/java/monero/wallet/MoneroWalletFull.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1903
Monero-java-v0.8.35,src/main/cpp/monero_jni_bridge.cpp,7,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,6,6,2250
Monero-java-v0.8.24,src/main/java/monero/common/MoneroUtils.java,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,14,63,746
Monero-java-v0.8.24,src/main/java/monero/wallet/MoneroWalletFull.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1889
Monero-java-v0.8.24,src/main/cpp/monero_jni_bridge.cpp,7,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,6,0,2244
Monero-java-v0.8.10,src/main/java/monero/common/MoneroUtils.java,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,44,644
Monero-java-v0.8.10,src/main/java/monero/wallet/MoneroWalletFull.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6,1889
Monero-java-v0.8.10,src/main/cpp/monero_jni_bridge.cpp,7,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,6,0,2245
Monero-java-v0.8.13,src/main/java/monero/common/MoneroUtils.java,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,98,722
Monero-java-v0.8.13,src/main/java/monero/wallet/MoneroWalletFull.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1889
Monero-java-v0.8.13,src/main/cpp/monero_jni_bridge.cpp,7,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,6,1,2244
Monero-java-v0.8.31,src/main/java/monero/common/MoneroUtils.java,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,16,49,765
Monero-java-v0.8.31,src/main/java/monero/wallet/MoneroWalletFull.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1889
Monero-java-v0.8.31,src/main/cpp/monero_jni_bridge.cpp,7,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,6,0,2244
