Project,FileName,ASMRV,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed,PrevFixing,CodeChurn,LOC
jpype-v0.6.2,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,286
jpype-v0.6.2,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1209,1026
jpype-v0.6.2,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.5.7,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,286
jpype-v0.5.7,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1186,1021
jpype-v0.5.7,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.5.4.5,src/native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,1,0,1760,1291
jpype-v0.5.5.4,src/native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,1768,1291
jpype-v0.5.5.4,src/native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,381,286
jpype-v0.5.5.1,src/native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,1768,1291
jpype-v0.6.0,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,286
jpype-v0.6.0,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1186,1021
jpype-v0.6.0,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.6.3,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,119,311
jpype-v0.6.3,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1209,1026
jpype-v0.6.3,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.5.6,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,286
jpype-v0.5.6,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.6.1,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,286
jpype-v0.6.1,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,1186,1021
jpype-v0.6.1,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.7,native/common/jp_proxy.cpp,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,11,893,134
jpype-v0.7,native/common/jp_reference_queue.cpp,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,328,98
jpype-v0.7,native/common/jp_env.cpp,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,5321,1188
jpype-v0.7,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1209,1026
jpype-v0.7,native/java/org/jpype/ref/JPypeReferenceQueue.java,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,176,152
