Project,FileName,ASMRV,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed,PrevFixing,CodeChurn,LOC
realm-java-v2.3.2,realm/realm-library/src/main/java/io/realm/internal/Util.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,238,123
realm-java-v2.3.2,realm/realm-library/src/main/cpp/util.cpp,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,22,185,382
realm-java-v2.3.2,realm/realm-library/src/main/java/io/realm/Property.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,65,46
realm-java-v2.3.2,realm/realm-library/src/main/java/io/realm/RealmObjectSchema.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24,1071,787
realm-java-v2.3.2,realm/realm-library/src/main/java/io/realm/internal/TableQuery.java,0,15,0,0,0,0,0,0,0,0,1,0,0,6,0,1,15,564,688
realm-java-v2.3.2,realm/realm-library/src/main/java/io/realm/internal/SharedRealm.java,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,861,351
realm-java-v2.3.2,realm/realm-library/src/main/java/io/realm/internal/Table.java,0,23,0,0,0,0,0,0,0,0,1,0,0,1,0,1,29,2018,1207
realm-java-v2.3.2,realm/realm-library/src/main/java/io/realm/internal/LinkView.java,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,14,251,159
realm-java-v2.3.2,realm/realm-library/src/main/cpp/jni_util/java_method.cpp,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,43,36
realm-java-v2.3.2,realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,14,112,120
realm-java-v2.3.2,realm/realm-library/src/main/java/io/realm/RealmSchema.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16,542,321
realm-java-v2.3.2,realm/realm-library/src/main/cpp/jni_util/log.cpp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,193,162
realm-java-v2.3.2,realm/realm-library/src/main/cpp/io_realm_internal_TableQuery.cpp,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,14,798,1766
realm-java-v2.3.2,realm/realm-library/src/main/java/io/realm/internal/TableView.java,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,17,1651,714
