ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotSecuringLibraries,array_test_jni,,ArrayTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/ArrayTest.java,ArrayTest.java
CS2,NotSecuringLibraries,thread_test_jni,,ThreadTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/ThreadTest.java,ThreadTest.java
CS3,NotSecuringLibraries,JAVA_RUNFILES,,MethodTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/MethodTest.java,MethodTest.java
CS4,NotSecuringLibraries,"System.getenv(""JAVA_RUNFILES"")",,LocalObjectTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/LocalObjectTest.java,LocalObjectTest.java
CS5,NotSecuringLibraries,"System.getenv(""JAVA_RUNFILES"")",,MethodTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/MethodTest.java,MethodTest.java
CS6,NotSecuringLibraries,"System.getenv(""JAVA_RUNFILES"")",,ArrayTestMethodRank2,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/ArrayTestMethodRank2.java,ArrayTestMethodRank2.java
CS7,NotSecuringLibraries,"System.getenv(""JAVA_RUNFILES"")",,ArrayTestFieldRank2,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/ArrayTestFieldRank2.java,ArrayTestFieldRank2.java
CS8,NotSecuringLibraries,"System.getenv(""JAVA_RUNFILES"")",,StaticTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/StaticTest.java,StaticTest.java
CS9,NotSecuringLibraries,"System.getenv(""JAVA_RUNFILES"")",,ArrayTestMethodRank1,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/ArrayTestMethodRank1.java,ArrayTestMethodRank1.java
CS10,NotSecuringLibraries,JAVA_RUNFILES,,FieldTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/FieldTest.java,FieldTest.java
CS11,NotSecuringLibraries,JAVA_RUNFILES,,LocalObjectTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/LocalObjectTest.java,LocalObjectTest.java
CS12,NotSecuringLibraries,"System.getenv(""JAVA_RUNFILES"")",,ThreadTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/ThreadTest.java,ThreadTest.java
CS13,NotSecuringLibraries,JAVA_RUNFILES,,ArrayTestFieldRank1,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/ArrayTestFieldRank1.java,ArrayTestFieldRank1.java
CS14,NotSecuringLibraries,field_test_jni,,FieldTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/FieldTest.java,FieldTest.java
CS15,NotSecuringLibraries,JAVA_RUNFILES,,ArrayTestFieldRank2,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/ArrayTestFieldRank2.java,ArrayTestFieldRank2.java
