ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotUsingRelativePath,"array_test_method_rank_1_jni",,ArrayTestMethodRank1,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/ArrayTestMethodRank1.java,ArrayTestMethodRank1.java
CS2,NotUsingRelativePath,"builder_jni",,BuilderTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/BuilderTest.java,BuilderTest.java
CS3,NotUsingRelativePath,"local_object_test_jni",,LocalObjectTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/LocalObjectTest.java,LocalObjectTest.java
CS4,NotUsingRelativePath,"array_test_jni",,ArrayTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/ArrayTest.java,ArrayTest.java
CS5,NotUsingRelativePath,"string_test_jni",,StringTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/StringTest.java,StringTest.java
CS6,NotUsingRelativePath,"global_object_test_jni",,GlobalObjectTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/GlobalObjectTest.java,GlobalObjectTest.java
CS7,NotUsingRelativePath,"thread_test_jni",,ThreadTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/ThreadTest.java,ThreadTest.java
CS8,NotUsingRelativePath,"static_test_jni",,StaticTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/StaticTest.java,StaticTest.java
CS9,NotUsingRelativePath,"array_test_field_rank_1_jni",,ArrayTestFieldRank1,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/ArrayTestFieldRank1.java,ArrayTestFieldRank1.java
CS10,NotUsingRelativePath,"string_test_jni",,StringTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/StringTest.java,StringTest.java
CS11,NotUsingRelativePath,"class_loader_test_jni",,ClassLoaderTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/ClassLoaderTest.java,ClassLoaderTest.java
CS12,NotUsingRelativePath,"global_object_test_jni",,GlobalObjectTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/GlobalObjectTest.java,GlobalObjectTest.java
CS13,NotUsingRelativePath,"class_loader_test_jni",,ClassLoaderTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/ClassLoaderTest.java,ClassLoaderTest.java
CS14,NotUsingRelativePath,"field_test_jni",,FieldTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/FieldTest.java,FieldTest.java
CS15,NotUsingRelativePath,"array_test_field_rank_2_jni",,ArrayTestFieldRank2,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/ArrayTestFieldRank2.java,ArrayTestFieldRank2.java
CS16,NotUsingRelativePath,"method_test_jni",,MethodTest,com.jnibind.android,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/android/MethodTest.java,MethodTest.java
CS17,NotUsingRelativePath,"field_test_jni",,FieldTest,com.jnibind.test,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-0.9.9-alpha/javatests/com/jnibind/test/FieldTest.java,FieldTest.java
