ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedDeclarationDetectio,,msat_make_fp_issubnormal,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS2,UnusedDeclarationDetectio,,msat_term_id,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS3,UnusedDeclarationDetectio,,msat_make_iff,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS4,UnusedDeclarationDetectio,,msat_get_array_element_type,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS5,UnusedDeclarationDetectio,,msat_make_fp_isneg,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS6,UnusedDeclarationDetectio,,msat_named_list_to_smtlib2,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS7,UnusedDeclarationDetectio,,msat_term_is_bv_ashr,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS8,UnusedDeclarationDetectio,,msat_make_bv_or,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS9,UnusedDeclarationDetectio,,msat_make_bv_concat,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS10,UnusedDeclarationDetectio,,msat_make_fp_minus_inf,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS11,UnusedDeclarationDetectio,,msat_term_arity,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS12,UnusedDeclarationDetectio,,msat_term_is_not,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS13,UnusedDeclarationDetectio,,msat_term_is_bv_plus,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS14,UnusedDeclarationDetectio,,msat_term_is_bv_uleq,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS15,UnusedDeclarationDetectio,,msat_term_is_boolean_constant,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS16,UnusedDeclarationDetectio,,msat_make_or,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS17,UnusedDeclarationDetectio,,msat_make_bv_sleq,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS18,UnusedDeclarationDetectio,,msat_make_fp_roundingmode_zero,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS19,UnusedDeclarationDetectio,,msat_term_is_bv_minus,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS20,UnusedDeclarationDetectio,,msat_term_is_plus,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS21,UnusedDeclarationDetectio,,msat_make_bv_slt,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS22,UnusedDeclarationDetectio,,msat_term_is_bv_ult,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS23,UnusedDeclarationDetectio,,msat_make_fp_isnormal,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS24,UnusedDeclarationDetectio,,msat_make_fp_sqrt,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS25,UnusedDeclarationDetectio,,msat_make_bv_comp,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS26,UnusedDeclarationDetectio,,msat_gc_env,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS27,UnusedDeclarationDetectio,,msat_make_fp_from_sbv,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS28,UnusedDeclarationDetectio,,msat_make_fp_lt,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
CS29,UnusedDeclarationDetectio,,msat_make_bv_uleq,Mathsat5NativeApi,org.sosy_lab.solver.mathsat5,/home/abhaya/shahrukh/cloned_abidi/java-smt-0.60/src/org/sosy_lab/solver/mathsat5/Mathsat5NativeApi.java,Mathsat5NativeApi.java
