ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,EVP_CIPHER_CTX_set_key_length,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS2,UnusedImplementationDetectio,,SSL_set_token_binding_params,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS3,UnusedImplementationDetectio,,ENGINE_SSL_read_BIO_heap,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS4,UnusedImplementationDetectio,,ENGINE_SSL_write_BIO_heap,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS5,UnusedImplementationDetectio,,SSL_get1_session,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS6,UnusedImplementationDetectio,,get_EVP_CIPHER_CTX_final_used,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS7,UnusedImplementationDetectio,,EVP_CIPHER_CTX_set_padding,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS8,UnusedImplementationDetectio,,SSL_read,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS9,UnusedImplementationDetectio,,EVP_CipherFinal_ex,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS10,UnusedImplementationDetectio,,SSL_get_mode,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS11,UnusedImplementationDetectio,,SSL_clear_mode,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS12,UnusedImplementationDetectio,,EVP_CIPHER_CTX_block_size,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS13,UnusedImplementationDetectio,,EVP_PKEY_new_EC_KEY,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS14,UnusedImplementationDetectio,,SSL_session_reused,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS15,UnusedImplementationDetectio,,EVP_CipherInit_ex,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS16,UnusedImplementationDetectio,,EVP_CipherUpdate,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS17,UnusedImplementationDetectio,,SSL_write,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS18,UnusedImplementationDetectio,,getDirectBufferAddress,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS19,UnusedImplementationDetectio,,get_EVP_CIPHER_CTX_buf_len,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
CS20,UnusedImplementationDetectio,,create_BIO_OutputStream,NativeCrypto,org.conscrypt,/home/shahrukh/smellDetection/Detection/cloned_abidi/conscrypt-1.2.0/common/src/main/java/org/conscrypt/NativeCrypto.java,NativeCrypto.java
