ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,nativeGetString,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS2,UnusedImplementationDetectio,,nativeSetByteArray,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS3,UnusedImplementationDetectio,,nativeSetString,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS4,UnusedImplementationDetectio,,nativeIsNullLink,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS5,UnusedImplementationDetectio,,nativeSetLink,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS6,UnusedImplementationDetectio,,nativeSetLong,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS7,UnusedImplementationDetectio,,nativeGetColumnType,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS8,UnusedImplementationDetectio,,nativeAddObjectListItem,OsObjectBuilder,io.realm.internal.objectstore,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/objectstore/OsObjectBuilder.java,OsObjectBuilder.java
CS9,UnusedImplementationDetectio,,nativeFindAll,TableQuery,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/TableQuery.java,TableQuery.java
CS10,UnusedImplementationDetectio,,nativeGetByteArray,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS11,UnusedImplementationDetectio,,nativeGetColumnName,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS12,UnusedImplementationDetectio,,nativeGetDouble,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS13,UnusedImplementationDetectio,,nativeGetLink,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS14,UnusedImplementationDetectio,,nativeGetLong,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS15,UnusedImplementationDetectio,,nativeSetBoolean,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS16,UnusedImplementationDetectio,,nativeSetDouble,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS17,UnusedImplementationDetectio,,nativeSetTimestamp,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS18,UnusedImplementationDetectio,,nativeGetTimestamp,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS19,UnusedImplementationDetectio,,nativeNullifyLink,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS20,UnusedImplementationDetectio,,nativeSetFloat,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS21,UnusedImplementationDetectio,,nativeGetColumnIndex,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS22,UnusedImplementationDetectio,,nativeGetFloat,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS23,UnusedImplementationDetectio,,nativeGetColumnCount,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
CS24,UnusedImplementationDetectio,,nativeGetBoolean,CheckedRow,io.realm.internal,/home/abhaya/shahrukh/cloned_abidi/realm-java-v5.11.0/realm/realm-library/src/main/java/io/realm/internal/CheckedRow.java,CheckedRow.java
