ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,seekForPrev0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS2,UnusedImplementationDetectio,,get,Transaction,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java
CS3,UnusedImplementationDetectio,,seekToFirst0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS4,UnusedImplementationDetectio,,loadOptionsFromFile,OptionsUtil,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/OptionsUtil.java,OptionsUtil.java
CS5,UnusedImplementationDetectio,,newMemTableFactoryHandle,VectorMemTableConfig,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/VectorMemTableConfig.java,VectorMemTableConfig.java
CS6,UnusedImplementationDetectio,,putLogData,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS7,UnusedImplementationDetectio,,deleteRange,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS8,UnusedImplementationDetectio,,seek0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS9,UnusedImplementationDetectio,,isValid0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS10,UnusedImplementationDetectio,,popSavePoint,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS11,UnusedImplementationDetectio,,put,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS12,UnusedImplementationDetectio,,next0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS13,UnusedImplementationDetectio,,data0,Slice,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/Slice.java,Slice.java
CS14,UnusedImplementationDetectio,,merge,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS15,UnusedImplementationDetectio,,setMaxBytes,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS16,UnusedImplementationDetectio,,loadLatestOptions,OptionsUtil,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/OptionsUtil.java,OptionsUtil.java
CS17,UnusedImplementationDetectio,,getForUpdate,Transaction,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.14.3/java/src/main/java/org/rocksdb/Transaction.java,Transaction.java
