ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,logToDebug,Logging,dev.onvoid.webrtc.logging,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/logging/Logging.java,Logging.java
CS2,UnusedImplementationDetectio,,getCodecPreferences,RTCRtpTransceiver,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCRtpTransceiver.java,RTCRtpTransceiver.java
CS3,UnusedImplementationDetectio,,getSignalLevel,AudioTrack,dev.onvoid.webrtc.media.audio,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/media/audio/AudioTrack.java,AudioTrack.java
CS4,UnusedImplementationDetectio,,setMaxFrameSize,VideoDesktopSource,dev.onvoid.webrtc.media.video,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/media/video/VideoDesktopSource.java,VideoDesktopSource.java
CS5,UnusedImplementationDetectio,,setVideoCaptureCapability,VideoCapture,dev.onvoid.webrtc.media.video,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/media/video/VideoCapture.java,VideoCapture.java
CS6,UnusedImplementationDetectio,,setSourceId,VideoDesktopSource,dev.onvoid.webrtc.media.video,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/media/video/VideoDesktopSource.java,VideoDesktopSource.java
CS7,UnusedImplementationDetectio,,isOrdered,RTCDataChannel,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCDataChannel.java,RTCDataChannel.java
CS8,UnusedImplementationDetectio,,getIceTransport,RTCDtlsTransport,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCDtlsTransport.java,RTCDtlsTransport.java
CS9,UnusedImplementationDetectio,,getVideoTracks,MediaStream,dev.onvoid.webrtc.media,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/media/MediaStream.java,MediaStream.java
CS10,UnusedImplementationDetectio,,getDefaultAudioCaptureDevice,MediaDevices,dev.onvoid.webrtc.media,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/media/MediaDevices.java,MediaDevices.java
CS11,UnusedImplementationDetectio,,getStats,RTCPeerConnection,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCPeerConnection.java,RTCPeerConnection.java
CS12,UnusedImplementationDetectio,,id,MediaStream,dev.onvoid.webrtc.media,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/media/MediaStream.java,MediaStream.java
CS13,UnusedImplementationDetectio,,start,VideoCapture,dev.onvoid.webrtc.media.video,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/media/video/VideoCapture.java,VideoCapture.java
CS14,UnusedImplementationDetectio,,registerObserver,RTCDtlsTransport,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.7.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCDtlsTransport.java,RTCDtlsTransport.java
