ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,getBulkCipherAlgorithmEnum3DES,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS2,UnusedImplementationDetectio,,debuggingOFF,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS3,UnusedImplementationDetectio,,getBulkCipherAlgorithmEnumCAMELLIA,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS4,UnusedImplementationDetectio,,memsaveSessionCache,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS5,UnusedImplementationDetectio,,getBulkCipherAlgorithmEnumCHACHA,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS6,UnusedImplementationDetectio,,getErrorString,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS7,UnusedImplementationDetectio,,setLoggingCb,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS8,UnusedImplementationDetectio,,memrestoreSessionCache,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS9,UnusedImplementationDetectio,,cleanup,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS10,UnusedImplementationDetectio,,getSessionCacheMemsize,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
CS11,UnusedImplementationDetectio,,x509_getDer,WolfSSL,com.wolfssl,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/wolfssljni-1.4.0-stable/src/java/com/wolfssl/WolfSSL.java,WolfSSL.java
