ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedParameters,s2,Java_com_jnibind_test_StringTest_jniStringMethodTakesTwoStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/string_test_jni.cc,string_test_jni.cc
CS2,UnusedParameters,s1,Java_com_jnibind_test_StringTest_jniStringMethodTakesTwoStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/string_test_jni.cc,string_test_jni.cc
CS3,UnusedParameters,test_fixture,Java_com_jnibind_test_ArrayTestFieldRank2_nativeStringTests,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/array_test_field_rank_2_jni.cc,array_test_field_rank_2_jni.cc
CS4,UnusedParameters,s2,Java_com_jnibind_test_StringTest_jniStringMethodTakesFiveStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/string_test_jni.cc,string_test_jni.cc
CS5,UnusedParameters,s3,Java_com_jnibind_test_StringTest_jniStringMethodTakesFiveStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/string_test_jni.cc,string_test_jni.cc
CS6,UnusedParameters,s1,Java_com_jnibind_android_StringTest_jniStringMethodTakesTwoStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/string_test_jni.cc,string_test_jni.cc
CS7,UnusedParameters,s4,Java_com_jnibind_test_StringTest_jniStringMethodTakesFiveStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/string_test_jni.cc,string_test_jni.cc
CS8,UnusedParameters,s2,Java_com_jnibind_android_StringTest_jniStringMethodTakesTwoStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/string_test_jni.cc,string_test_jni.cc
CS9,UnusedParameters,s5,Java_com_jnibind_test_StringTest_jniStringMethodTakesFiveStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/string_test_jni.cc,string_test_jni.cc
CS10,UnusedParameters,s1,Java_com_jnibind_test_StringTest_jniStringMethodTakesFiveStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/test/string_test_jni.cc,string_test_jni.cc
CS11,UnusedParameters,string,Java_com_jnibind_android_StringTest_jniStringMethodTakesString,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/string_test_jni.cc,string_test_jni.cc
CS12,UnusedParameters,s5,Java_com_jnibind_android_StringTest_jniStringMethodTakesFiveStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/string_test_jni.cc,string_test_jni.cc
CS13,UnusedParameters,s2,Java_com_jnibind_android_StringTest_jniStringMethodTakesFiveStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/string_test_jni.cc,string_test_jni.cc
CS14,UnusedParameters,s1,Java_com_jnibind_android_StringTest_jniStringMethodTakesFiveStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/string_test_jni.cc,string_test_jni.cc
CS15,UnusedParameters,s4,Java_com_jnibind_android_StringTest_jniStringMethodTakesFiveStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/string_test_jni.cc,string_test_jni.cc
CS16,UnusedParameters,s3,Java_com_jnibind_android_StringTest_jniStringMethodTakesFiveStrings,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/jni-bind/Release-1.1.0-beta/javatests/com/jnibind/android/string_test_jni.cc,string_test_jni.cc
