Variable,Coefficient,Odds Ratio,p-value,95% CI
const,0.24454401471443107,1.27703886948851,0.9998212257639196,"(0.0000, inf)"
ASMRV,3.4343100226984276,31.01000898006533,0.9994478071089983,"(0.0000, inf)"
EILC,0.1026148437977682,1.1080645489438714,0.5168006267242671,"(0.8125, 1.5111)"
MMM,0.07926926264962199,1.0824957585082207,0.419429336485313,"(0.8930, 1.3122)"
NCOE,-0.7938894368997216,0.4520830229609418,0.9998955660107817,"(0.0000, inf)"
NHE,7.357924412646145,1568.5774623093976,0.9991132395871551,"(0.0000, inf)"
NSL,1.7335541220142725,5.660737148661683,0.9997615688046981,"(0.0000, inf)"
NURP,0.10909760082407106,1.115271196417461,0.550131218342033,"(0.7798, 1.5951)"
TMC,0.34837144909305295,1.4167584056387579,0.007793091598027921,"(1.0961, 1.8312)"
TMS,-0.2339704298356148,0.7913852169405527,0.1404840226559709,"(0.5798, 1.0802)"
UNMD,-0.17602447903174834,0.8385974550320927,0.3764237242650774,"(0.5677, 1.2387)"
UNMI,0.11823304723316658,1.125506376953081,0.27550759097433475,"(0.9100, 1.3920)"
