Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-0.004163098541296189,0.9958455551405611,0.9999966641795655,"(0.0000, inf)"
ASMRV,3.4331061219265804,30.97269846990165,0.9994481941282081,"(0.0000, inf)"
EILC,0.022123092954007682,1.0223696232223576,0.892551670598137,"(0.7416, 1.4094)"
MMM,0.07813725518177095,1.0812710585412082,0.4278016844185216,"(0.8914, 1.3116)"
NCOE,-0.7935376794373508,0.45224207451002413,0.9998956153295877,"(0.0000, inf)"
NHE,7.354993499162498,1563.986828136993,0.9991139096429589,"(0.0000, inf)"
NSL,-0.08685368924058917,0.9168112251672066,0.4933230507796662,"(0.7151, 1.1754)"
NURP,0.20922736776322223,1.2327252486515794,0.2581414393643915,"(0.8578, 1.7716)"
TMC,0.2629356183340655,1.3007429722563708,0.0397437474218726,"(1.0124, 1.6712)"
TMS,-0.2734343198171064,0.7607623017220947,0.0933675540366705,"(0.5528, 1.0470)"
UNMD,-0.17780643221222164,0.8371044442626762,0.37405086198217763,"(0.5656, 1.2389)"
UNMI,0.04565745167979101,1.0467157988008324,0.6853586362263213,"(0.8393, 1.3054)"
