Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-3.355486603459112,0.034892387266784154,0.9921490761448523,"(0.0000, 6477764848326395095871886895769555005755206574606608495789673477801463573412373653421807667841323359828747822389145488330710303702773813272696691483108292494307282761753457453770732272905037865523588844971822413011277318561110822536521767721104105354427032581175823854797547539699966410752.0000)"
EILC,0.23312341007006593,1.262537279527534,0.34355387543190885,"(0.7794, 2.0453)"
LRA,0.510663071921589,1.6663957689440558,0.029658618329453906,"(1.0517, 2.6404)"
MMM,-2.716770170953758,0.06608786258786999,0.9990638996837907,"(0.0000, inf)"
NHE,0.28992082124644075,1.336321675551853,0.08661627055501316,"(0.9592, 1.8618)"
PEO,0.12266678767291359,1.130507659092253,0.5895970067083403,"(0.7239, 1.7654)"
TMC,0.13873047155395285,1.1488144201062613,0.6689250471914192,"(0.6083, 2.1697)"
TMS,0.4001642906672127,1.4920698106505488,0.18349244630569894,"(0.8274, 2.6908)"
UNMI,0.0713453042704541,1.0739520020619464,0.7474424280667213,"(0.6957, 1.6580)"
previous_fixes,0.7089505412164213,2.0318577883450257,1.8103593062269334e-05,"(1.4694, 2.8097)"
code_churn,1.297380813974912,3.659698672020446,0.00013259737804330971,"(1.8814, 7.1190)"
