Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-1.9563549335121566,0.14137279612706685,0.9986953042346257,"(0.0000, inf)"
EILC,1.0218678543313695,2.77837952850093,0.034705984572609386,"(1.0762, 7.1727)"
MMM,-4.823369105068144,0.008039655016815412,0.9990572487728723,"(0.0000, inf)"
NCOE,0.08403516063385408,1.08766713620244,0.8846347021331185,"(0.3495, 3.3844)"
NHE,-0.2728862833699629,0.7611793414571005,0.6639589867222401,"(0.2222, 2.6070)"
PEO,-0.13737588651683394,0.8716425258739384,0.5869401133925188,"(0.5310, 1.4308)"
TMC,-0.470536203693044,0.624667229590806,0.31420396636506176,"(0.2499, 1.5617)"
TMS,-0.16407388105379722,0.8486793182415622,0.5336855357180592,"(0.5062, 1.4228)"
UNMD,3.540212426773695,34.47424166501755,0.999104828039327,"(0.0000, inf)"
UP,-2.6094721251252158,0.07357337104821086,0.9994998702696258,"(0.0000, inf)"
