,Conscrypt,Javacpp,Java-smt,Jpype,Pljava,Realm-java,Rocksdb,Vlc,Zstd
NHE,1.0667,,,0.8174,1.1491,1.1658,,2.9551,0.7909
TMC,30.3668,11.4307,5.0000,,,3.1128,4.1769,,1.8811
MMM,3.3729,,,0.8569,,,,,0.0863
NSL,,1045.4922,,,,,,1.0761,
TMS,,1.2296,,,1.1405,2.3236,0.5102,1.0623,0.1836
UNMD,,0.9446,,,,2.4704,,0.9437,66.0170
HCL,,2.5781,,,,,,,
EILC,,0.6514,,0.0000,0.7750,1.0098,,1.1475,1.0681
LRA,,,,1387881604.2377,,2.3622,,,
UNMI,,,,,1.9198,1.0490,,1.0940,
UP,,,,,0.0419,0.5910,,1.1167,0.0000
PEO,,,,,,,,1.1167,0.9191
HCL,,,,,,,,,
NURP,,,,,,,,,
NCOE,,,,,,,,,
