,Conscrypt,Javacpp,Java-smt,Jpype,Pljava,Realm-java,Rocksdb,Vlc,Zstd
NHE,0.9940,,,0.8007,1.1248,1.1538,96413.9727,1.9850,0.7364
TMC,20.9284,2.1788,1.5000,0.8357,,2.9917,4.0105,,0.3891
MMM,2.3254,,,,,,1.3298,,0.0942
NSL,,1905.3936,,,,,0.8972,1.1381,
TMS,,0.3344,,,1.0695,2.1267,0.6485,0.8384,0.2655
UNMD,,0.9670,,,,2.4371,0.7915,0.9064,1161.5342
EILC,,0.7611,,0.0000,0.9073,1.0052,1.1484,0.9447,1.1285
LRA,,,,57431259.8969,,2.2788,,,
UNMI,,,,,1.4994,1.0451,1.0295,1.0745,
UP,,,,,0.0241,0.5398,,,0.0000
PEO,,,,,,,,1.5685,0.8830
HCL,,,,,,,,,
NURP,,,,,,,,,
NCOE,,,,,,,,,
