Project,JNI_File,ASM,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed
wolfssl-v1.11.0-stable,native/com_wolfssl_WolfSSLSession.c,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1
wolfssl-v1.11.0-stable,src/java/com/wolfssl/wolfcrypt/ECC.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfssl-v1.11.0-stable,src/java/com/wolfssl/wolfcrypt/RSA.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfssl-v1.11.0-stable,src/java/com/wolfssl/WolfSSL.java,0,7,0,0,0,0,0,3,1,0,1,0,0,12,0,1
wolfssl-v1.11.0-stable,src/java/com/wolfssl/WolfSSLCertificate.java,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
wolfssl-v1.11.0-stable,src/java/com/wolfssl/wolfcrypt/EccKey.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfssl-v1.9.0-stable,native/com_wolfssl_WolfSSLSession.c,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1
wolfssl-v1.9.0-stable,src/java/com/wolfssl/wolfcrypt/ECC.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfssl-v1.9.0-stable,src/java/com/wolfssl/wolfcrypt/RSA.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfssl-v1.9.0-stable,src/java/com/wolfssl/WolfSSL.java,0,7,0,0,0,0,0,3,1,0,1,0,0,12,0,1
wolfssl-v1.9.0-stable,src/java/com/wolfssl/WolfSSLX509StoreCtx.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfssl-v1.9.0-stable,src/java/com/wolfssl/WolfSSLCertificate.java,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wolfssl-v1.9.0-stable,src/java/com/wolfssl/WolfSSLCertManager.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfssl-v1.9.0-stable,src/java/com/wolfssl/wolfcrypt/EccKey.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
wolfssl-v1.6.0-stable,native/com_wolfssl_WolfSSLSession.c,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1
wolfssl-v1.6.0-stable,src/java/com/wolfssl/wolfcrypt/ECC.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfssl-v1.6.0-stable,src/java/com/wolfssl/wolfcrypt/RSA.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfssl-v1.6.0-stable,src/java/com/wolfssl/WolfSSL.java,0,7,0,0,0,0,0,3,1,0,1,0,0,12,0,1
wolfssl-v1.6.0-stable,src/java/com/wolfssl/WolfSSLX509StoreCtx.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
wolfssl-v1.6.0-stable,src/java/com/wolfssl/WolfSSLCertificate.java,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
