Project,FileName,ASMRV,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed
zstd-jni-v1.3.5-3,src/main/native/jni_fast_zstd.c,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdOutputStream.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zstd-jni-v1.3.5-3,src/main/native/jni_inputstream_zstd.c,0,0,0,0,0,9,9,0,0,1,0,0,0,0,0,0
zstd-jni-v1.3.5-3,jni/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
zstd-jni-v1.3.5-3,src/main/native/jni_directbuffercompress_zstd.c,0,0,0,0,0,7,7,0,0,1,0,0,0,0,0,0
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdDictDecompress.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
zstd-jni-v1.3.5-3,src/main/native/jni_outputstream_zstd.c,0,0,0,0,0,7,7,0,0,1,0,0,0,0,0,0
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdDirectBufferDecompressingStream.java,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/Zstd.java,0,15,0,0,0,0,0,0,0,0,1,0,0,19,0,1
zstd-jni-v1.3.5-3,src/main/native/jni_zdict.c,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
zstd-jni-v1.3.5-3,src/main/native/jni_zstd.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdDirectBufferCompressingStream.java,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdInputStream.java,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zstd-jni-v1.3.5-3,src/main/native/jni_directbufferdecompress_zstd.c,0,0,0,0,0,7,7,0,0,1,0,0,0,0,0,0
zstd-jni-v1.3.5-3,src/main/java/com/github/luben/zstd/ZstdDictCompress.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zstd-jni-v1.3.2-2,src/main/native/jni_fast_zstd.c,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdOutputStream.java,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zstd-jni-v1.3.2-2,src/main/native/jni_inputstream_zstd.c,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
zstd-jni-v1.3.2-2,src/main/native/jni_directbuffercompress_zstd.c,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
zstd-jni-v1.3.2-2,src/main/java/com/github/luben/zstd/ZstdDictDecompress.java,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
zstd-jni-v1.3.2-2,src/main/native/jni_outputstream_zstd.c,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
