Project,FileName,ASMRV,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed,PrevFixing,CodeChurn,LOC
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,183,260
conscrypt-1.0.0.RC11,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,54
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,49
conscrypt-1.0.0.RC11,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,59,64
conscrypt-1.0.0.RC11,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,54
conscrypt-1.0.0.RC11,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3756,8325
conscrypt-1.0.0.RC11,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,530,442
conscrypt-1.0.0.RC11,common/src/main/java/org/conscrypt/NativeCrypto.java,0,110,0,0,0,0,0,0,0,0,1,0,0,14,0,1,32,1594,997
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,34
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,268,225
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,66
conscrypt-1.0.0.RC11,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,77
conscrypt-1.0.0.RC11,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,61
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,202,255
conscrypt-1.4.2,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,54
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,49
conscrypt-1.4.2,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61,64
conscrypt-1.4.2,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,54
conscrypt-1.4.2,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,6226,8898
conscrypt-1.4.2,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,627,461
conscrypt-1.4.2,common/src/main/java/org/conscrypt/NativeCrypto.java,0,115,0,0,0,0,0,0,0,0,1,0,0,19,0,1,51,2066,1056
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,34
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,7,349,261
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,66
conscrypt-1.4.2,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21,77
conscrypt-1.4.2,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,61
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,202,255
conscrypt-1.2.0,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,54
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,49
conscrypt-1.2.0,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61,64
conscrypt-1.2.0,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,54
conscrypt-1.2.0,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,6032,8974
conscrypt-1.2.0,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,613,456
conscrypt-1.2.0,common/src/main/java/org/conscrypt/NativeCrypto.java,0,115,0,0,0,0,0,0,0,0,1,0,0,20,0,1,47,2005,1033
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,34
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,5,342,257
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,66
conscrypt-1.2.0,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,77
conscrypt-1.2.0,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,61
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,198,261
conscrypt-1.0.1,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,54
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,49
conscrypt-1.0.1,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,61,64
conscrypt-1.0.1,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,54
conscrypt-1.0.1,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,5572,8399
conscrypt-1.0.1,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,590,444
conscrypt-1.0.1,common/src/main/java/org/conscrypt/NativeCrypto.java,0,110,0,0,0,0,0,0,0,0,1,0,0,14,0,1,37,1855,1005
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,34
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,4,331,225
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,66
conscrypt-1.0.1,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,77
conscrypt-1.0.1,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,61
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,184,261
conscrypt-1.0.0.RC14,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,54
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,49
conscrypt-1.0.0.RC14,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,59,64
conscrypt-1.0.0.RC14,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,54
conscrypt-1.0.0.RC14,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,3894,8393
conscrypt-1.0.0.RC14,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,534,444
conscrypt-1.0.0.RC14,common/src/main/java/org/conscrypt/NativeCrypto.java,0,110,0,0,0,0,0,0,0,0,1,0,0,14,0,1,35,1606,1005
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,34
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,268,225
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,66
conscrypt-1.0.0.RC14,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,77
conscrypt-1.0.0.RC14,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,61
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,645,839
conscrypt-1.0.0.RC8,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,645,839
conscrypt-1.0.0.RC8,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,37,64
conscrypt-1.0.0.RC8,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,645,839
conscrypt-1.0.0.RC8,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,645,839
conscrypt-1.0.0.RC8,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC8,common/src/main/java/org/conscrypt/NativeCrypto.java,0,110,0,0,0,0,0,0,0,0,1,0,0,14,0,1,15,968,935
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,645,839
conscrypt-1.0.0.RC8,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,645,839
conscrypt-1.0.0.RC8,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,645,839
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC2,common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC2,common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,64
conscrypt-1.0.0.RC2,common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC2,common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC2,common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC2,common/src/main/java/org/conscrypt/NativeCrypto.java,0,110,0,0,0,0,0,0,0,0,1,0,0,14,0,1,7,49,922
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC2,common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-1.0.0.RC2,common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,645,839
conscrypt-2.1.0,common/src/jni/unbundled/include/nativehelper/scoped_utf_chars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,61
