project,file,ASM,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed,previous_fixes,code_churn,loc
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/test/ArrayTestFieldRank2.java,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,4,177
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/test/MethodTest.java,0,18,0,0,0,0,0,1,1,0,0,0,0,3,0,1,4,4,240
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/test/ArrayTestMethodRank2.java,0,0,0,0,0,0,0,1,1,0,0,0,10,0,0,1,2,4,159
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/test/LocalObjectTest.java,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,4,119
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/test/BuilderTest.java,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,1,0,4,80
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/android/LocalObjectTest.java,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,110
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/test/ThreadTest.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,4,66
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/android/string_test_jni.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,137
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/android/FieldTest.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,83
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/android/ThreadTest.java,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,60
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/test/string_test_jni.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,4,137
jni-bind-Release-0.9.9-alpha,javatests/com/jnibind/test/FieldTest.java,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,4,141
