Project,FileName,ASMRV,EILC,HCL,LRA,MMM,NCOE,NHE,NSL,NURP,PEO,TMC,TMS,UNMD,UNMI,UP,Changed,PrevFixing,CodeChurn,LOC
jpype-v0.6.2,native/common/jp_proxy.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,17,196
jpype-v0.6.2,native/common/include/jp_javaenv.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,118
jpype-v0.6.2,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,286
jpype-v0.6.2,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1209,1026
jpype-v0.6.2,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.5.7,native/common/jp_proxy.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,193
jpype-v0.5.7,native/common/include/jp_javaenv.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,118
jpype-v0.5.7,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,286
jpype-v0.5.7,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1186,1021
jpype-v0.5.7,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.5.4.5,src/native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,1,0,1760,1291
jpype-v0.5.4.5,src/native/common/include/jp_javaenv.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150,113
jpype-v0.5.4.5,src/native/common/jp_proxy.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,246,188
jpype-v0.5.4.5,src/native/common/jp_javaenv.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,334,271
jpype-v0.5.5.4,src/native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,1768,1291
jpype-v0.5.5.4,src/native/common/include/jp_javaenv.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,162,117
jpype-v0.5.5.4,src/native/common/jp_proxy.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,280,193
jpype-v0.5.5.4,src/native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,381,286
jpype-v0.5.5.1,src/native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,1768,1291
jpype-v0.5.5.1,src/native/common/include/jp_javaenv.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,155,114
jpype-v0.5.5.1,src/native/common/jp_proxy.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,268,193
jpype-v0.5.5.1,src/native/common/jp_javaenv.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,366,273
jpype-v0.6.0,native/common/jp_proxy.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,196
jpype-v0.6.0,native/common/include/jp_javaenv.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,118
jpype-v0.6.0,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,286
jpype-v0.6.0,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1186,1021
jpype-v0.6.0,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.6.3,native/common/jp_proxy.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,116,204
jpype-v0.6.3,native/common/include/jp_javaenv.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,120
jpype-v0.6.3,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,119,311
jpype-v0.6.3,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1209,1026
jpype-v0.6.3,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.5.6,native/common/jp_proxy.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,193
jpype-v0.5.6,native/common/include/jp_javaenv.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,118
jpype-v0.5.6,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,286
jpype-v0.5.6,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.6.1,native/common/jp_proxy.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,15,196
jpype-v0.6.1,native/common/include/jp_javaenv.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,118
jpype-v0.6.1,native/common/jp_javaenv.cpp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,286
jpype-v0.6.1,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,1186,1021
jpype-v0.6.1,native/common/jp_javaenv_autogen.cpp,5,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,1,0,1291
jpype-v0.7,native/common/jp_proxy.cpp,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,11,893,134
jpype-v0.7,native/common/jp_reference_queue.cpp,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,328,98
jpype-v0.7,native/common/jp_env.cpp,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,5321,1188
jpype-v0.7,native/jni_include/jni.h,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1209,1026
jpype-v0.7,native/common/include/jp_javaframe.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,748,366
jpype-v0.7,native/java/org/jpype/proxy/JPypeInvocationHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,11
jpype-v0.7,native/java/org/jpype/ref/JPypeReferenceQueue.java,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,176,152
