Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-0.36026633111700934,0.6974905378974817,0.9993896011724875,"(0.0000, inf)"
ASMRV,2.25541312254332,9.53923336857779,0.9994517515528722,"(0.0000, inf)"
EILC,0.05215950213692711,1.0535437715954254,0.5901730383934978,"(0.8714, 1.2738)"
MMM,0.04270421024730878,1.0436291543822542,0.47283069117953735,"(0.9288, 1.1727)"
NCOE,-0.5181104629800346,0.5956449785467637,0.999896203407368,"(0.0000, inf)"
NHE,4.818996327896725,123.84073289413801,0.9991213933584238,"(0.0000, inf)"
NSL,1.1415422230790415,3.1315942598683275,0.9997610806543096,"(0.0000, inf)"
NURP,0.08061155063347826,1.0839497551802624,0.4966713374784272,"(0.8591, 1.3676)"
TMC,0.21702761671153822,1.2423784120702255,0.004726844675985091,"(1.0687, 1.4443)"
TMS,-0.2941091171915583,0.7451951734022867,5.227051664654038e-05,"(0.6462, 0.8593)"
UNMD,-0.13135003379524185,0.8769107722579154,0.30937290859409705,"(0.6807, 1.1296)"
UNMI,0.06536805252259967,1.0675518672441004,0.2958422555175876,"(0.9444, 1.2067)"
