Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-1.0808942046835954,0.339291993465553,0.9991939820182122,"(0.0000, inf)"
EILC,0.3922740213282703,1.4803433014673504,0.2678835098987987,"(0.7396, 2.9630)"
MMM,-4.76066734031442,0.008559895127922828,0.9990020460293987,"(0.0000, inf)"
NCOE,0.3899418437693726,1.476894900744596,0.4541632239986627,"(0.5320, 4.1002)"
NHE,-0.7306714669347234,0.481585512752133,0.18402132730731324,"(0.1639, 1.4153)"
PEO,-0.13591357691851624,0.8729180694983718,0.44360438734619567,"(0.6165, 1.2359)"
TMC,0.14768012239212752,1.1591420534667194,0.6424472725258741,"(0.6214, 2.1622)"
TMS,-0.5484111094337382,0.5778672491533007,0.007137632533091171,"(0.3875, 0.8617)"
UNMD,2.8718882359638456,17.670352513517937,0.9993542107973651,"(0.0000, inf)"
UP,-2.5543005712975204,0.07774659125234103,0.9994734947464823,"(0.0000, inf)"
