Variable,Coefficient,Odds Ratio,p-value,95% CI
const,251.56530012966886,1.7923453136133583e+109,0.9990946546494589,"(0.0000, inf)"
EILC,31.21250997101841,35926991130934.3,0.9990025077206679,"(0.0000, inf)"
NSL,-11.878414242510564,6.938574260559442e-06,0.999701726165682,"(0.0000, inf)"
NURP,66.73373434460996,9.596051778229098e+28,0.9991387866177053,"(0.0000, inf)"
TMS,41.825834290699206,1.4612651722407928e+18,0.9998571583565603,"(0.0000, inf)"
UNMD,4.8216322487150185,124.16759786596144,0.9999757043695557,"(0.0000, inf)"
UNMI,-1.8602363610045536,0.15563583977680387,0.4633329670272849,"(0.0011, 22.4509)"
UP,0.09396767946098694,1.0985242404478286,0.8018500753160976,"(0.5273, 2.2884)"
loc,2.4995614379938598,12.177152353110962,0.4741738817806309,"(0.0130, 11437.3134)"
previous_fixes,0.8472560557837384,2.3332357912974486,0.687272693593888,"(0.0377, 144.3649)"
code_churn,1475.6166201027993,inf,0.9988673515637161,"(0.0000, inf)"
