Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-1.4918590973927857,0.22495405505322186,0.9919987479826794,"(0.0000, 958600225915058700519085248270931271498040513677103192159424396831760389010178793967403460169218209273538468804182003677134848.0000)"
ASMRV,-0.09222425379523237,0.9119006294367162,0.5149472876643483,"(0.6909, 1.2037)"
EILC,-0.07069083615432124,0.9317499109884807,0.5941146845977632,"(0.7184, 1.2084)"
TMS,0.004178010504053424,1.0041867505577122,0.9785861862989529,"(0.7402, 1.3624)"
UNMD,-1.0181659033773458,0.36125691301050056,0.9994483761237579,"(0.0000, inf)"
UNMI,0.12296791779285586,1.1308481402612258,0.27073471165338736,"(0.9086, 1.4075)"
UP,-1.7827689391633363,0.16817184437828808,0.9990316547570848,"(0.0000, inf)"
LOC,0.547772351732004,1.7293962371544944,0.054166005915141084,"(0.9902, 3.0203)"
PrevFixing,0.024971654804297302,1.0252860581785714,0.9147588429776858,"(0.6490, 1.6197)"
CodeChurn,0.12598569718971367,1.1342659449763806,0.7080586664346398,"(0.5866, 2.1933)"
