Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-1.0557722144895034,0.34792365185820023,2.6369088459948017e-28,"(0.2884, 0.4197)"
EILC,-0.030643210764563864,0.9698215332382786,0.7838491451291393,"(0.7791, 1.2072)"
LRA,0.0942671066559116,1.098853217729617,0.389981622036753,"(0.8863, 1.3623)"
NHE,0.08222012359637106,1.085694770565594,0.36988756212505947,"(0.9071, 1.2994)"
TMC,0.24150289825576704,1.27316114485881,0.019110077500654243,"(1.0403, 1.5581)"
TMS,0.2463758448406414,1.2793803316877275,0.005108327363472749,"(1.0767, 1.5202)"
UNMD,0.1060062960616592,1.111828876627656,0.3668214732713403,"(0.8832, 1.3997)"
UNMI,0.10028991807594079,1.105491373552475,0.2280446459368879,"(0.9392, 1.3013)"
UP,-0.06131767765880927,0.9405244087203326,0.5928999407148153,"(0.7512, 1.1776)"
LOC,0.7141637437454634,2.042477932935813,1.1857956421761298e-05,"(1.4838, 2.8115)"
PrevFixing,0.38096352955423407,1.4636942228555192,0.023294117186892987,"(1.0532, 2.0342)"
CodeChurn,-0.7179558751313105,0.4877482559786628,0.0004807945617779103,"(0.3259, 0.7299)"
