Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-0.6858093279303866,0.5036824203205654,0.9985985527658184,"(0.0000, inf)"
ASMRV,2.0887474715268795,8.074794917130951,0.9994262247947902,"(0.0000, inf)"
EILC,0.009912331091085785,1.0099616209694986,0.922817269497459,"(0.8265, 1.2342)"
MMM,0.0074145248731282065,1.0074420805245956,0.9088510521059393,"(0.8873, 1.1438)"
NCOE,-0.5235372646828657,0.5924212864433228,0.9998944529673892,"(0.0000, inf)"
NHE,4.893781524099689,133.45729300812306,0.9990308661155688,"(0.0000, inf)"
NSL,-0.04130247289890899,0.9595388515512935,0.6197130206667647,"(0.8151, 1.1296)"
NURP,0.04136906440986697,1.0422366870412876,0.7422985129178648,"(0.8145, 1.3337)"
TMC,0.15750482572557115,1.1705864068968206,0.03758044098134713,"(1.0091, 1.3579)"
TMS,-0.11279329600086756,0.8933352970112242,0.1431590852036693,"(0.7681, 1.0389)"
UNMD,-0.07910596116066719,0.9239420172894593,0.4886199575748378,"(0.7386, 1.1558)"
UNMI,0.06616154056709773,1.0683992930543014,0.3121165120894275,"(0.9398, 1.2146)"
LOC,0.44196785514989795,1.5557657297741418,0.01783950910859804,"(1.0793, 2.2426)"
PrevFixing,-0.004931244841271854,0.9950808937855269,0.9734543535945932,"(0.7442, 1.3305)"
