Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-1.7383902650048673,0.1758031694786355,8.527598241716665e-31,"(0.1309, 0.2362)"
ASMRV,-0.0008014989779852071,0.9991988221365239,0.9964530672363112,"(0.7018, 1.4227)"
EILC,-0.17666302543912538,0.8380621425690605,0.30342426288855584,"(0.5986, 1.1733)"
NSL,0.19424411721305487,1.2143927009361022,0.1309211980564046,"(0.9438, 1.5625)"
PEO,0.07328440816883969,1.0760365269778465,0.5119612979178895,"(0.8644, 1.3395)"
TMS,-0.05105791664810338,0.9502236351708128,0.7562317098963383,"(0.6884, 1.3117)"
UNMD,-0.068936567848361,0.9333858848754254,0.6925775209921283,"(0.6632, 1.3137)"
UNMI,0.11187706282238902,1.1183753622828394,0.38918318580677613,"(0.8670, 1.4427)"
LOC,0.4038472437642015,1.4975751655395764,0.14234885894811855,"(0.8731, 2.5686)"
PrevFixing,0.0186666733366932,1.0188419848118173,0.9375031386749666,"(0.6389, 1.6246)"
