Variable,Coefficient,Odds Ratio,p-value,95% CI
const,-1.7182188012397461,0.17938538453969713,0.9986859452115074,"(0.0000, inf)"
EILC,0.5862599311907923,1.7972539760766557,0.09107100767343967,"(0.9105, 3.5476)"
MMM,-4.504311747118676,0.011061200470753985,0.9990557845004543,"(0.0000, inf)"
NCOE,0.14934851372050206,1.1610775701677536,0.8083571851842031,"(0.3473, 3.8814)"
NHE,-0.5001117778168699,0.606462866828567,0.4360043150622924,"(0.1723, 2.1345)"
PEO,-0.12013092235775646,0.8868043266033109,0.6114209661838415,"(0.5579, 1.4096)"
TMC,-0.18986517561226604,0.8270706357186877,0.5776025404075158,"(0.4240, 1.6134)"
TMS,-0.21009600323126434,0.8105064309986661,0.3618193511681682,"(0.5160, 1.2731)"
UNMD,3.1023361664142066,22.249870011473263,0.9992080506048737,"(0.0000, inf)"
UP,-2.500358456224233,0.08205558001818207,0.9994846135658724,"(0.0000, inf)"
PrevFixing,0.3305821599399365,1.391778130138287,0.12062215133287729,"(0.9168, 2.1128)"
