project_name,jni_file_count,smelly_file_count,%Smelly files
conscrypt-1.0.0.RC11,13,4,30.77
conscrypt-1.0.0.RC14,13,3,23.08
conscrypt-1.0.0.RC2,13,4,30.77
conscrypt-1.0.0.RC8,13,4,30.77
conscrypt-1.0.1,13,3,23.08
conscrypt-1.0.2,13,3,23.08
conscrypt-1.1.1,13,3,23.08
conscrypt-1.2.0,13,3,23.08
conscrypt-1.4.2,13,3,23.08
conscrypt-2.1.0,13,3,23.08
java-smt-0.60,2,1,50.00
java-smt-1.0.1,3,1,33.33
java-smt-2.0.0,3,1,33.33
java-smt-2.0.0-alpha,3,1,33.33
java-smt-3.0.0,3,1,33.33
javacpp-0.5,12,12,100.00
javacpp-0.9,12,12,100.00
javacpp-1.1,14,14,100.00
javacpp-1.2,13,13,100.00
javacpp-1.2.1,13,13,100.00
javacpp-1.2.7,13,13,100.00
javacpp-1.3,13,13,100.00
javacpp-1.3.2,14,14,100.00
javacpp-1.4,15,15,100.00
javacpp-1.4.2,16,16,100.00
javacpp-1.4.4,18,18,100.00
javacpp-1.5,18,18,100.00
javacpp-1.5.1-1,18,18,100.00
jpype-v0.5.4.5,4,1,25.00
jpype-v0.5.5.1,4,1,25.00
jpype-v0.5.5.4,4,2,50.00
jpype-v0.5.6,4,2,50.00
jpype-v0.5.7,5,3,60.00
jpype-v0.6.0,5,3,60.00
jpype-v0.6.1,5,3,60.00
jpype-v0.6.2,5,3,60.00
jpype-v0.6.3,5,3,60.00
jpype-v0.7,7,4,57.14
pljava-rel1_5_stable-base,50,20,40.00
pljava-V1_4_3,50,19,38.00
pljava-V1_5_0,48,19,39.58
pljava-V1_5_0b3,48,19,39.58
pljava-V1_5_1b1,46,18,39.13
pljava-V1_5_1b2,52,21,40.38
pljava-V1_5_2,52,21,40.38
pljava-V1_5_3,47,20,42.55
realm-java-v0.90.0,44,18,40.91
realm-java-v1.2.0,32,12,37.50
realm-java-v2.3.2,49,17,34.69
realm-java-v3.7.2,64,17,26.56
realm-java-v4.4.0,67,16,23.88
realm-java-v5.11.0,79,19,24.05
realm-java-v5.15.0,81,19,23.46
realm-java-v5.4.0,70,16,22.86
realm-java-v5.7.1,72,17,23.61
realm-java-v5.9.0,77,19,24.68
rocksdb-v5.0.2,86,46,53.49
rocksdb-v5.11.2,121,51,42.15
rocksdb-v5.14.3,123,51,41.46
rocksdb-v5.17.2,125,51,40.80
rocksdb-v5.18.3,130,53,40.77
rocksdb-v5.4.6,93,43,46.24
rocksdb-v5.6.2,93,42,45.16
rocksdb-v5.9.2,103,45,43.69
rocksdb-v6.1.1,152,57,37.50
rocksdb-v6.2.2,152,57,37.50
vlc-3.0.0,57,14,24.56
vlc-3.0.11,57,14,24.56
vlc-3.0.13,57,13,22.81
vlc-3.0.92,33,12,36.36
vlc-3.0.96,33,12,36.36
vlc-3.1.0,33,12,36.36
vlc-3.1.2,33,12,36.36
vlc-3.1.6,33,12,36.36
vlc-3.1.7,33,12,36.36
zstd-jni-v0.4.4,6,3,50.00
zstd-jni-v1.3.0-1,14,10,71.43
zstd-jni-v1.3.2-2,14,10,71.43
zstd-jni-v1.3.3-1,14,10,71.43
zstd-jni-v1.3.4-1,15,11,73.33
zstd-jni-v1.3.4-8,15,11,73.33
zstd-jni-v1.3.5-3,15,10,66.67
zstd-jni-v1.3.7-1,15,10,66.67
zstd-jni-v1.3.8-1,15,10,66.67
zstd-jni-v1.4.0-1,15,12,80.00
zstd-jni-v1.4.2-1,15,12,80.00
