ID,Name,Variable,Method,Class,Package,File,File Name
CS1,LocalReferencesAbuse,yBuffer,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/VideoFrame.cpp,VideoFrame.cpp
CS2,LocalReferencesAbuse,buffer,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/media/video/desktop/DesktopFrame.cpp,DesktopFrame.cpp
CS3,LocalReferencesAbuse,jEvent,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/RTCPeerConnectionIceErrorEvent.cpp,RTCPeerConnectionIceErrorEvent.cpp
CS4,LocalReferencesAbuse,jCandidate,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/RTCIceCandidate.cpp,RTCIceCandidate.cpp
CS5,LocalReferencesAbuse,directBuffer,DataBufferFactory::create,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/DataBufferFactory.cpp,DataBufferFactory.cpp
CS6,LocalReferencesAbuse,result,NewObject,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/dependencies/jni-voithos/include/jni/jni.h,jni.h
CS7,LocalReferencesAbuse,config,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/RTCConfiguration.cpp,RTCConfiguration.cpp
CS8,LocalReferencesAbuse,jBuffer,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/VideoFrame.cpp,VideoFrame.cpp
CS9,LocalReferencesAbuse,object,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/dependencies/jni-voithos/src/JavaBigInteger.cpp,JavaBigInteger.cpp
CS10,LocalReferencesAbuse,vBuffer,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/VideoFrame.cpp,VideoFrame.cpp
CS11,LocalReferencesAbuse,obj,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/RTCAnswerOptions.cpp,RTCAnswerOptions.cpp
CS12,LocalReferencesAbuse,jFrame,VideoTrackSink::OnFrame,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/VideoTrackSink.cpp,VideoTrackSink.cpp
CS13,LocalReferencesAbuse,obj,toJavaVideoDevice,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/media/Device.cpp,Device.cpp
CS14,LocalReferencesAbuse,jCandidate,toJavaCricket,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/RTCIceCandidate.cpp,RTCIceCandidate.cpp
CS15,LocalReferencesAbuse,uBuffer,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/VideoFrame.cpp,VideoFrame.cpp
CS16,LocalReferencesAbuse,obj,toJavaAudioDevice,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/media/Device.cpp,Device.cpp
CS17,LocalReferencesAbuse,object,DataBufferFactory::create,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/DataBufferFactory.cpp,DataBufferFactory.cpp
CS18,LocalReferencesAbuse,iceServer,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc-jni/src/main/cpp/src/api/RTCIceServer.cpp,RTCIceServer.cpp
