ID,Name,Variable,Method,Class,Package,File,File Name
CS1,LocalReferencesAbuse,buffer,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/media/video/desktop/DesktopFrame.cpp,DesktopFrame.cpp
CS2,LocalReferencesAbuse,jEvent,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/RTCPeerConnectionIceErrorEvent.cpp,RTCPeerConnectionIceErrorEvent.cpp
CS3,LocalReferencesAbuse,jCandidate,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/RTCIceCandidate.cpp,RTCIceCandidate.cpp
CS4,LocalReferencesAbuse,directBuffer,DataBufferFactory::create,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/DataBufferFactory.cpp,DataBufferFactory.cpp
CS5,LocalReferencesAbuse,result,NewObject,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/dependencies/jni-voithos/include/jni/jni.h,jni.h
CS6,LocalReferencesAbuse,config,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/RTCConfiguration.cpp,RTCConfiguration.cpp
CS7,LocalReferencesAbuse,jDtmfSender,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/RTCDtmfSender.cpp,RTCDtmfSender.cpp
CS8,LocalReferencesAbuse,jBuffer,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/VideoFrame.cpp,VideoFrame.cpp
CS9,LocalReferencesAbuse,object,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/RTCRtcpParameters.cpp,RTCRtcpParameters.cpp
CS10,LocalReferencesAbuse,object,JavaDimension::toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/dependencies/jni-voithos/src/JavaDimension.cpp,JavaDimension.cpp
CS11,LocalReferencesAbuse,obj,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/RTCAnswerOptions.cpp,RTCAnswerOptions.cpp
CS12,LocalReferencesAbuse,obj,toJavaDevice,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/media/Device.cpp,Device.cpp
CS13,LocalReferencesAbuse,object,JavaBigInteger::toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/dependencies/jni-voithos/src/JavaBigInteger.cpp,JavaBigInteger.cpp
CS14,LocalReferencesAbuse,object,JavaRectangle::toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/dependencies/jni-voithos/src/JavaRectangle.cpp,JavaRectangle.cpp
CS15,LocalReferencesAbuse,obj,toJavaVideoDevice,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/media/video/VideoDevice.cpp,VideoDevice.cpp
CS16,LocalReferencesAbuse,jCandidate,toJavaCricket,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/RTCIceCandidate.cpp,RTCIceCandidate.cpp
CS17,LocalReferencesAbuse,obj,toJavaAudioDevice,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/media/audio/AudioDevice.cpp,AudioDevice.cpp
CS18,LocalReferencesAbuse,object,DataBufferFactory::create,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/DataBufferFactory.cpp,DataBufferFactory.cpp
CS19,LocalReferencesAbuse,iceServer,toJava,,,/home/shahrukh/smellDetection/Detection/revision projects/webrtc/v0.13.0/webrtc-jni/src/main/cpp/src/api/RTCIceServer.cpp,RTCIceServer.cpp
