ID,Name,Variable,Method,Class,Package,File,File Name
CS1,MemoryManagementMismatch,BooleanArrayElements,GetBooleanArrayElements,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS2,MemoryManagementMismatch,PrimitiveArrayCritical,GetPrimitiveArrayCritical,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS3,MemoryManagementMismatch,ShortArrayElements,GetShortArrayElements,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS4,MemoryManagementMismatch,DoubleArrayElements,GetDoubleArrayElements,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS5,MemoryManagementMismatch,IntArrayElements,GetIntArrayElements,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS6,MemoryManagementMismatch,FloatArrayElements,GetFloatArrayElements,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS7,MemoryManagementMismatch,StringCritical,GetStringCritical,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS8,MemoryManagementMismatch,LongArrayElements,GetLongArrayElements,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS9,MemoryManagementMismatch,StringUTFChars,GetStringUTFChars,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS10,MemoryManagementMismatch,ByteArrayElements,GetByteArrayElements,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS11,MemoryManagementMismatch,CharArrayElements,GetCharArrayElements,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
CS12,MemoryManagementMismatch,StringChars,GetStringChars,,,/home/shahrukh/smellDetection/Detection/cloned_abidi/zstd-jni-v1.4.0-1/jni/jni.h,jni.h
