ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotCachingObjectsElements,"produced",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStreamWithDict,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
CS2,NotCachingObjectsElements,"produced",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
CS3,NotCachingObjectsElements,"srcPos",Java_com_github_luben_zstd_ZstdOutputStream_initCStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c
CS4,NotCachingObjectsElements,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS5,NotCachingObjectsElements,"nativePtr",Java_com_github_luben_zstd_ZstdDictDecompress_init,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c
CS6,NotCachingObjectsElements,"dstPos",Java_com_github_luben_zstd_ZstdInputStream_initDStreamWithDict,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS7,NotCachingObjectsElements,"nativePtr",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStreamWithFastDict,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
CS8,NotCachingObjectsElements,"srcPos",Java_com_github_luben_zstd_ZstdInputStream_initDStreamWithDict,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS9,NotCachingObjectsElements,"srcPos",Java_com_github_luben_zstd_ZstdOutputStream_initCStreamWithFastDict,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c
CS10,NotCachingObjectsElements,"produced",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS11,NotCachingObjectsElements,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStreamWithDict,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
CS12,NotCachingObjectsElements,"dstPos",Java_com_github_luben_zstd_ZstdOutputStream_initCStreamWithDict,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c
CS13,NotCachingObjectsElements,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
CS14,NotCachingObjectsElements,"dstPos",Java_com_github_luben_zstd_ZstdInputStream_decompressStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS15,NotCachingObjectsElements,"produced",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStreamWithDict,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS16,NotCachingObjectsElements,"nativePtr",Java_com_github_luben_zstd_ZstdInputStream_initDStreamWithFastDict,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS17,NotCachingObjectsElements,"dstPos",Java_com_github_luben_zstd_ZstdInputStream_initDStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.8-1/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
