ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"java/lang/Long",Java_monero_wallet_MoneroWalletFull_syncJni,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS2,NotHandlingExceptions,2,Java_monero_wallet_MoneroWalletFull_syncJni,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS3,NotHandlingExceptions,"onSyncProgress",on_sync_progress,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS4,NotHandlingExceptions,"java/lang/String",Java_monero_wallet_MoneroWalletFull_submitMultisigTxHexJni,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS5,NotHandlingExceptions,"java/lang/String",Java_monero_wallet_MoneroWalletFull_getSeedLanguagesJni,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS6,NotHandlingExceptions,"onNewBlock",on_new_block,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS7,NotHandlingExceptions,3,Java_monero_wallet_MoneroWalletFull_getDaemonConnectionJni,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS8,NotHandlingExceptions,"java/lang/String",Java_monero_wallet_MoneroWalletFull_relayTxsJni,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS9,NotHandlingExceptions,"onOutputReceived",on_output_received,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS10,NotHandlingExceptions,"<init>",Java_monero_wallet_MoneroWalletFull_syncJni,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS11,NotHandlingExceptions,"java/lang/String",Java_monero_wallet_MoneroWalletFull_submitTxsJni,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS12,NotHandlingExceptions,"onOutputSpent",on_output_spent,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS13,NotHandlingExceptions,"java/lang/Boolean",Java_monero_wallet_MoneroWalletFull_syncJni,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS14,NotHandlingExceptions,"java/lang/String",Java_monero_wallet_MoneroWalletFull_getTxNotesJni,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
CS15,NotHandlingExceptions,"onBalancesChanged",on_balances_changed,,,/home/shahrukh/smellDetection/Detection/Revision_new_projects/Monero-java/v0.8.24/src/main/cpp/monero_jni_bridge.cpp,monero_jni_bridge.cpp
