ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotHandlingExceptions,"toString",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS2,NotHandlingExceptions,"commitListener",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS3,NotHandlingExceptions,"clone",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS4,NotHandlingExceptions,"org/sqlite/Function",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS5,NotHandlingExceptions,"xCompare",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS6,NotHandlingExceptions,"xFinal",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS7,NotHandlingExceptions,"xValue",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS8,NotHandlingExceptions,"busyHandler",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS9,NotHandlingExceptions,"org/sqlite/core/DB$ProgressObserver",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS10,NotHandlingExceptions,"org/sqlite/Function$Aggregate",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS11,NotHandlingExceptions,"org/sqlite/Function$Window",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS12,NotHandlingExceptions,"xInverse",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS13,NotHandlingExceptions,"progress",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS14,NotHandlingExceptions,"org/sqlite/Collation",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS15,NotHandlingExceptions,"org/sqlite/BusyHandler",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS16,NotHandlingExceptions,"context",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS17,NotHandlingExceptions,"java/lang/Throwable",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS18,NotHandlingExceptions,"stringToUtf8ByteArray",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS19,NotHandlingExceptions,"xStep",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS20,NotHandlingExceptions,"onCommit",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS21,NotHandlingExceptions,"xFunc",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS22,NotHandlingExceptions,"pointer",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS23,NotHandlingExceptions,"throwex",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS24,NotHandlingExceptions,"progressHandler",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS25,NotHandlingExceptions,"value",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS26,NotHandlingExceptions,"org/sqlite/ProgressHandler",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS27,NotHandlingExceptions,"[Z",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS28,NotHandlingExceptions,"updateListener",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS29,NotHandlingExceptions,"onUpdate",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS30,NotHandlingExceptions,"args",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS31,NotHandlingExceptions,"callback",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
CS32,NotHandlingExceptions,"org/sqlite/core/NativeDB",JNI_OnLoad,,,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.45.2.0/src/main/java/org/sqlite/core/NativeDB.c,NativeDB.c
