ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,column_metadata,NativeDB,org.sqlite.core,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.42.0.1/src/main/java/org/sqlite/core/NativeDB.java,NativeDB.java
CS2,UnusedImplementationDetectio,,enable_load_extension,NativeDB,org.sqlite.core,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.42.0.1/src/main/java/org/sqlite/core/NativeDB.java,NativeDB.java
CS3,UnusedImplementationDetectio,,busy_timeout,NativeDB,org.sqlite.core,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.42.0.1/src/main/java/org/sqlite/core/NativeDB.java,NativeDB.java
CS4,UnusedImplementationDetectio,,clear_bindings,NativeDB,org.sqlite.core,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.42.0.1/src/main/java/org/sqlite/core/NativeDB.java,NativeDB.java
CS5,UnusedImplementationDetectio,,_close,NativeDB,org.sqlite.core,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.42.0.1/src/main/java/org/sqlite/core/NativeDB.java,NativeDB.java
CS6,UnusedImplementationDetectio,,limit,NativeDB,org.sqlite.core,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.42.0.1/src/main/java/org/sqlite/core/NativeDB.java,NativeDB.java
CS7,UnusedImplementationDetectio,,result_int,NativeDB,org.sqlite.core,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.42.0.1/src/main/java/org/sqlite/core/NativeDB.java,NativeDB.java
CS8,UnusedImplementationDetectio,,result_double,NativeDB,org.sqlite.core,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.42.0.1/src/main/java/org/sqlite/core/NativeDB.java,NativeDB.java
CS9,UnusedImplementationDetectio,,value_type,NativeDB,org.sqlite.core,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.42.0.1/src/main/java/org/sqlite/core/NativeDB.java,NativeDB.java
CS10,UnusedImplementationDetectio,,bind_null,NativeDB,org.sqlite.core,/home/shahrukh/smellDetection/Detection/revision projects/sqlite/3.42.0.1/src/main/java/org/sqlite/core/NativeDB.java,NativeDB.java
