ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,logToDebug,Logging,dev.onvoid.webrtc.logging,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/logging/Logging.java,Logging.java
CS2,UnusedImplementationDetectio,,getCodecPreferences,RTCRtpTransceiver,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCRtpTransceiver.java,RTCRtpTransceiver.java
CS3,UnusedImplementationDetectio,,getSignalLevel,AudioTrack,dev.onvoid.webrtc.media.audio,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/audio/AudioTrack.java,AudioTrack.java
CS4,UnusedImplementationDetectio,,isOrdered,RTCDataChannel,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCDataChannel.java,RTCDataChannel.java
CS5,UnusedImplementationDetectio,,dispose,AudioDeviceModule,dev.onvoid.webrtc.media.audio,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/audio/AudioDeviceModule.java,AudioDeviceModule.java
CS6,UnusedImplementationDetectio,,initPlayout,AudioDeviceModule,dev.onvoid.webrtc.media.audio,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/audio/AudioDeviceModule.java,AudioDeviceModule.java
CS7,UnusedImplementationDetectio,,getIceTransport,RTCDtlsTransport,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCDtlsTransport.java,RTCDtlsTransport.java
CS8,UnusedImplementationDetectio,,getVideoTracks,MediaStream,dev.onvoid.webrtc.media,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/MediaStream.java,MediaStream.java
CS9,UnusedImplementationDetectio,,setPlayoutDevice,AudioDeviceModule,dev.onvoid.webrtc.media.audio,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/audio/AudioDeviceModule.java,AudioDeviceModule.java
CS10,UnusedImplementationDetectio,,getStats,RTCPeerConnection,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCPeerConnection.java,RTCPeerConnection.java
CS11,UnusedImplementationDetectio,,id,MediaStream,dev.onvoid.webrtc.media,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/MediaStream.java,MediaStream.java
CS12,UnusedImplementationDetectio,,registerObserver,RTCDtlsTransport,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCDtlsTransport.java,RTCDtlsTransport.java
CS13,UnusedImplementationDetectio,,stopped,RTCRtpTransceiver,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCRtpTransceiver.java,RTCRtpTransceiver.java
CS14,UnusedImplementationDetectio,,setSpeakerMute,AudioDeviceModule,dev.onvoid.webrtc.media.audio,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/audio/AudioDeviceModule.java,AudioDeviceModule.java
CS15,UnusedImplementationDetectio,,logThreads,Logging,dev.onvoid.webrtc.logging,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/logging/Logging.java,Logging.java
CS16,UnusedImplementationDetectio,,getAudioTracks,MediaStream,dev.onvoid.webrtc.media,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/MediaStream.java,MediaStream.java
CS17,UnusedImplementationDetectio,,getRtpReceiverCapabilities,PeerConnectionFactory,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/PeerConnectionFactory.java,PeerConnectionFactory.java
CS18,UnusedImplementationDetectio,,getMinMicrophoneVolume,AudioDeviceModule,dev.onvoid.webrtc.media.audio,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/audio/AudioDeviceModule.java,AudioDeviceModule.java
CS19,UnusedImplementationDetectio,,setCodecPreferences,RTCRtpTransceiver,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCRtpTransceiver.java,RTCRtpTransceiver.java
CS20,UnusedImplementationDetectio,,getSynchronizationSources,RTCRtpReceiver,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCRtpReceiver.java,RTCRtpReceiver.java
CS21,UnusedImplementationDetectio,,removeTrack,MediaStream,dev.onvoid.webrtc.media,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/MediaStream.java,MediaStream.java
CS22,UnusedImplementationDetectio,,getMid,RTCRtpTransceiver,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCRtpTransceiver.java,RTCRtpTransceiver.java
CS23,UnusedImplementationDetectio,,getBufferedAmount,RTCDataChannel,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCDataChannel.java,RTCDataChannel.java
CS24,UnusedImplementationDetectio,,setDesktopCapturer,VideoDesktopSource,dev.onvoid.webrtc.media.video,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/video/VideoDesktopSource.java,VideoDesktopSource.java
CS25,UnusedImplementationDetectio,,isNegotiated,RTCDataChannel,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCDataChannel.java,RTCDataChannel.java
CS26,UnusedImplementationDetectio,,getParameters,RTCRtpSender,dev.onvoid.webrtc,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/RTCRtpSender.java,RTCRtpSender.java
CS27,UnusedImplementationDetectio,,isSpeakerMuted,AudioDeviceModule,dev.onvoid.webrtc.media.audio,/home/shahrukh/smellDetection/Detection/revision projects/extra projects/webrtc-java-0.2.0 (1)/webrtc-java-0.2.0/webrtc/src/main/java/dev/onvoid/webrtc/media/audio/AudioDeviceModule.java,AudioDeviceModule.java
