ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,DhGenerateKeyPair,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS2,UnusedImplementationDetectio,,native_set_key,Des3,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Des3.java,Des3.java
CS3,UnusedImplementationDetectio,,DhAgree,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS4,UnusedImplementationDetectio,,ecc_make_key,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS5,UnusedImplementationDetectio,,wolfSSL_Debugging_ON,Logging,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Logging.java,Logging.java
CS6,UnusedImplementationDetectio,,InitMd5,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS7,UnusedImplementationDetectio,,RNG_GenerateBlock_fips,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS8,UnusedImplementationDetectio,,wolfSSL_Debugging_OFF,Logging,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Logging.java,Logging.java
CS9,UnusedImplementationDetectio,,Md5Update,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS10,UnusedImplementationDetectio,,DhParamsLoad,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS11,UnusedImplementationDetectio,,native_update,Sha512,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Sha512.java,Sha512.java
CS12,UnusedImplementationDetectio,,AesGcmDecrypt_fips,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS13,UnusedImplementationDetectio,,native_init,Sha512,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Sha512.java,Sha512.java
CS14,UnusedImplementationDetectio,,getPrivateKeyReadEnable,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS15,UnusedImplementationDetectio,,InitRsaKey_fips,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS16,UnusedImplementationDetectio,,wolfCrypt_SetCb_fips,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS17,UnusedImplementationDetectio,,mallocNativeStruct,Sha512,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Sha512.java,Sha512.java
CS18,UnusedImplementationDetectio,,DhSetKey,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS19,UnusedImplementationDetectio,,wc_Chacha_process,Chacha,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Chacha.java,Chacha.java
CS20,UnusedImplementationDetectio,,InitDhKey,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
CS21,UnusedImplementationDetectio,,ecc_free,Fips,com.wolfssl.wolfcrypt,/home/shahrukh/smellDetection/Detection/revision projects/wolfcrypt/v1.5.0-stable/src/main/java/com/wolfssl/wolfcrypt/Fips.java,Fips.java
