ID,Name,Variable,Method,Class,Package,File,File Name
AP1,EILCModifiedF,,createNewLoggerOptions,Logger,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/Logger.java,
AP2,EILCModifiedF,,createNewSlice1,Slice,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/Slice.java,
AP3,EILCModifiedF,,beginTransaction,TransactionDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/TransactionDB.java,
AP4,EILCModifiedF,,createNewSlice0,Slice,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/Slice.java,
AP5,EILCModifiedF,,compactRange0,RocksDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/RocksDB.java,
AP6,EILCModifiedF,,beginTransaction,OptimisticTransactionDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/OptimisticTransactionDB.java,
AP7,EILCModifiedF,,dbPathsLen,Options,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/Options.java,
AP8,EILCModifiedF,,compactRange,RocksDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/RocksDB.java,
AP9,EILCModifiedF,,dbPathsLen,DBOptions,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/DBOptions.java,
AP10,EILCModifiedF,,dbPaths,DBOptions,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/DBOptions.java,
AP11,EILCModifiedF,,write0,RocksDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/RocksDB.java,
AP12,EILCModifiedF,,write1,RocksDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/RocksDB.java,
AP13,EILCModifiedF,,beginTransaction_withOld,OptimisticTransactionDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/OptimisticTransactionDB.java,
AP14,EILCModifiedF,,open,TtlDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/TtlDB.java,
AP15,EILCModifiedF,,iterator0,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,
AP16,EILCModifiedF,,iterator1,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,
AP17,EILCModifiedF,,createNewLoggerDbOptions,Logger,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/Logger.java,
AP18,EILCModifiedF,,openCF,TtlDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/TtlDB.java,
AP19,EILCModifiedF,,iteratorCF,RocksDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/RocksDB.java,
AP20,EILCModifiedF,,iterator,RocksDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/RocksDB.java,
AP21,EILCModifiedF,,dbPaths,Options,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/Options.java,
AP22,EILCModifiedF,,beginTransaction_withOld,TransactionDB,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.17.2/java/src/main/java/org/rocksdb/TransactionDB.java,
