ID,Name,Variable,Method,Class,Package,File,File Name
CS1,UnusedImplementationDetectio,,seekForPrev0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS2,UnusedImplementationDetectio,,seekToFirst0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS3,UnusedImplementationDetectio,,loadLatestOptions,OptionsUtil,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/OptionsUtil.java,OptionsUtil.java
CS4,UnusedImplementationDetectio,,loadOptionsFromFile,OptionsUtil,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/OptionsUtil.java,OptionsUtil.java
CS5,UnusedImplementationDetectio,,newMemTableFactoryHandle,VectorMemTableConfig,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/VectorMemTableConfig.java,VectorMemTableConfig.java
CS6,UnusedImplementationDetectio,,putLogData,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS7,UnusedImplementationDetectio,,createNewSliceFromString,AbstractSlice,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/AbstractSlice.java,AbstractSlice.java
CS8,UnusedImplementationDetectio,,deleteRange,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS9,UnusedImplementationDetectio,,prev0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS10,UnusedImplementationDetectio,,seek0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS11,UnusedImplementationDetectio,,isValid0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS12,UnusedImplementationDetectio,,status0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS13,UnusedImplementationDetectio,,count0,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS14,UnusedImplementationDetectio,,setSavePoint0,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS15,UnusedImplementationDetectio,,disposeInternal,WriteOptions,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WriteOptions.java,WriteOptions.java
CS16,UnusedImplementationDetectio,,put,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS17,UnusedImplementationDetectio,,next0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS18,UnusedImplementationDetectio,,remove,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS19,UnusedImplementationDetectio,,seekToLast0,WBWIRocksIterator,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WBWIRocksIterator.java,WBWIRocksIterator.java
CS20,UnusedImplementationDetectio,,data0,Slice,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/Slice.java,Slice.java
CS21,UnusedImplementationDetectio,,rollbackToSavePoint0,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS22,UnusedImplementationDetectio,,clear0,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
CS23,UnusedImplementationDetectio,,merge,WriteBatchWithIndex,org.rocksdb,/home/abhaya/shahrukh/cloned_abidi/rocksdb-v5.9.2/java/src/main/java/org/rocksdb/WriteBatchWithIndex.java,WriteBatchWithIndex.java
