ID,Name,Variable,Method,Class,Package,File,File Name
CS1,NotCachingObjectsElements,"nativePtr",Java_com_github_luben_zstd_ZstdDictDecompress_init,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c
CS2,NotCachingObjectsElements,"dstPos",Java_com_github_luben_zstd_ZstdInputStream_initDStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS3,NotCachingObjectsElements,"produced",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
CS4,NotCachingObjectsElements,"srcPos",Java_com_github_luben_zstd_ZstdOutputStream_initCStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c
CS5,NotCachingObjectsElements,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS6,NotCachingObjectsElements,"srcPos",Java_com_github_luben_zstd_ZstdInputStream_decompressStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS7,NotCachingObjectsElements,"dstPos",Java_com_github_luben_zstd_ZstdOutputStream_initCStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_outputstream_zstd.c,jni_outputstream_zstd.c
CS8,NotCachingObjectsElements,"nativePtr",Java_com_github_luben_zstd_ZstdDictCompress_init,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_fast_zstd.c,jni_fast_zstd.c
CS9,NotCachingObjectsElements,"produced",Java_com_github_luben_zstd_ZstdDirectBufferCompressingStream_initCStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_directbuffercompress_zstd.c,jni_directbuffercompress_zstd.c
CS10,NotCachingObjectsElements,"srcPos",Java_com_github_luben_zstd_ZstdInputStream_initDStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
CS11,NotCachingObjectsElements,"consumed",Java_com_github_luben_zstd_ZstdDirectBufferDecompressingStream_initDStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_directbufferdecompress_zstd.c,jni_directbufferdecompress_zstd.c
CS12,NotCachingObjectsElements,"dstPos",Java_com_github_luben_zstd_ZstdInputStream_decompressStream,,,/home/abhaya/shahrukh/cloned_abidi/zstd-jni-v1.3.2-2/src/main/native/jni_inputstream_zstd.c,jni_inputstream_zstd.c
