,Conscrypt,Javacpp,Java-smt,Jpype,Pljava,Realm-java,Rocksdb,Vlc,Zstd
NHE,0.1020,NA,NA,-8.8095,NA,0.2073,4.8190,NA,-0.7307
TMC,NA,0.7151,NA,NA,NA,0.2450,0.2170,NA,0.1477
MMM,0.3242,NA,NA,-0.9242,NA,NA,0.0427,NA,-4.7607
NSL,NA,3.7670,NA,NA,NA,NA,1.1415,0.0966,NA
TMS,NA,0.0720,NA,NA,0.1159,0.2519,-0.2941,0.0775,-0.5484
UNMD,NA,-0.3814,NA,NA,-1.0397,0.1599,-0.1314,-0.0124,2.8719
ASMRV,NA,NA,NA,8.3223,0.1312,NA,2.2554,0.3520,NA
EILC,0.9154,-0.7509,0.7393,-3.1002,-0.0635,0.0336,0.0522,0.2208,0.3923
LRA,NA,NA,NA,4.3003,NA,0.2228,NA,NA,NA
UNMI,NA,NA,NA,NA,0.1522,0.1361,0.0654,0.2954,NA
UP,NA,NA,NA,NA,-1.7962,-0.0551,NA,NA,-2.5543
PEO,NA,NA,NA,NA,NA,NA,NA,0.0302,-0.1359
HCL,NA,-0.0296,NA,NA,NA,NA,NA,NA,NA
NURP,NA,NA,NA,NA,NA,NA,0.0806,NA,NA
NCOE,NA,NA,NA,NA,NA,NA,-0.5181,NA,0.3899
