,Conscrypt,Javacpp,Java-smt,Jpype,Pljava,Realm-java,Rocksdb,Vlc,Zstd
NHE,0.1937,NA,NA,-8.96413132067959,NA,0.0822201235963711,4.85196486738935,NA,-0.640219841415847
TMC,NA,0.4197,NA,NA,NA,0.241502898255767,0.159665126951446,NA,0.253279519924676
MMM,0.432,NA,NA,-1.78863458074397,NA,NA,0.00730966141958016,NA,-4.66127818831081
NSL,NA,NA,NA,NA,NA,NA,1.16125729732872,0.197679391848118,NA
TMS,NA,-0.1039,NA,NA,0.0583469948043495,0.246375844840641,-0.231409686212648,0.018362865597054,-0.424628418466845
UNMD,NA,-0.4881,NA,NA,-1.03096824299311,0.106006296061659,-0.118624418683729,0.00829204781903414,2.80566100215451
ASMRV,NA,NA,NA,8.57011253380015,-0.177388378209686,NA,2.09634894181228,0.150374256991769,NA
EILC,1.1301,-0.4517,71.4135374102856,-3.13071624952378,-0.207307213688969,-0.0306432107645639,0.0208941560200113,0.154929558409351,0.27496807818425
LRA,NA,NA,NA,4.64728222024288,NA,0.0942671066559116,NA,NA,NA
UNMI,NA,NA,NA,0.16019732753581,0.16019732753581,0.100289918075941,0.0675767656923689,0.256126361721007,NA
UP,NA,NA,NA,-1.84819602906672,-1.84819602906672,-0.0613176776588093,NA,NA,-2.60413846708022
PEO,NA,NA,NA,NA,NA,NA,NA,0.0132875758222917,-0.052099088792712
HCL,NA,1.807,NA,NA,NA,NA,NA,NA,NA
NURP,NA,NA,NA,NA,NA,NA,0.0436722975290454,NA,NA
NCOE,NA,NA,NA,NA,NA,NA,-0.522687324046494,NA,0.318447477458399
LOC,1.1553,1.827,17.3067861105634,NA,0.97485274054563,0.714163743745463,0.180575820579901,0.405431741992715,NA
PrevFixing,-0.3256,-1.3701,-71.4677579290071,-0.888174429393893,-0.343371058602753,0.380963529554234,0.21494191150877,-0.274752113536975,0.386689131670514
CodeChurn,NA,NA,5.78244780271752,0.974418886343262,0.272131444118738,-0.717955875131311,NA,NA,NA
