,Conscrypt,Javacpp,Java-smt,Jpype,Pljava,Realm-java,Rocksdb,Vlc,Zstd
NHE,0.1937,NA,NA,-8.8195,NA,0.0822,4.8938,NA,-0.5001
TMC,NA,0.2162,NA,NA,NA,0.2415,0.1575,NA,-0.1899
MMM,0.4320,NA,NA,-1.5183,NA,NA,0.0074,NA,-4.5043
NSL,NA,NA,NA,NA,NA,NA,-0.0413,0.1942,NA
TMS,NA,-0.1881,NA,NA,0.0042,0.2464,-0.1128,-0.0511,-0.2101
UNMD,NA,-0.4250,NA,NA,-1.0182,0.1060,-0.0791,-0.0689,3.1023
ASMRV,NA,NA,NA,8.4290,-0.0922,NA,2.0887,-0.0008,NA
EILC,1.1301,-0.2483,496.5727,-3.0829,-0.0707,-0.0306,0.0099,-0.1767,0.5863
LRA,NA,NA,NA,4.6368,NA,0.0943,NA,NA,NA
UNMI,NA,NA,NA,NA,0.1230,0.1003,0.0662,0.1119,NA
UP,NA,NA,NA,NA,-1.7828,-0.0613,NA,NA,-2.5004
PEO,NA,NA,NA,NA,NA,NA,NA,0.0733,-0.1201
HCL,NA,1.8416,NA,NA,NA,NA,NA,NA,NA
NURP,NA,NA,NA,NA,NA,NA,0.0414,NA,NA
NCOE,NA,NA,NA,NA,NA,NA,-0.5235,NA,0.1493
LOC,1.1553,1.7824,75.7904,NA,0.5478,0.7142,0.4420,0.4038,NA
PrevFixing,-0.3256,-1.2687,-449.3667,-0.7887,0.0250,0.3810,-0.0049,0.0187,0.3306
CodeChurn,NA,NA,-1.5089,0.8490,0.1260,-0.7180,NA,NA,NA
