Project Name,jni_file_count,Smelly Files,Faulty Files,Smelly But Not Faulty,Faulty But Not Smelly,Both Smelly & Faulty,Not Smelly & Not Faulty
conscrypt-1.0.0.RC11,13,4,3,2,1,2,8
conscrypt-1.0.0.RC14,13,3,1,3,1,0,9
conscrypt-1.0.0.RC2,13,4,1,3,0,1,9
conscrypt-1.0.0.RC8,13,4,2,3,1,1,8
conscrypt-1.0.1,13,3,0,3,0,0,10
conscrypt-1.0.2,13,3,8,0,5,3,5
conscrypt-1.1.1,13,3,2,2,1,1,9
conscrypt-1.2.0,13,3,4,1,2,2,8
conscrypt-1.4.2,13,3,5,0,2,3,8
conscrypt-2.1.0,13,3,1,3,1,0,9
java-smt-0.60,2,1,0,1,0,0,1
java-smt-1.0.1,3,1,2,0,1,1,1
java-smt-2.0.0,3,1,0,1,0,0,2
java-smt-2.0.0-alpha,3,1,1,0,0,1,2
java-smt-3.0.0,3,1,1,0,0,1,2
javacpp-0.5,12,12,0,12,0,0,0
javacpp-0.9,12,12,12,0,0,12,0
javacpp-1.1,14,14,3,11,0,3,0
javacpp-1.2,13,13,11,2,0,11,0
javacpp-1.2.1,13,13,13,0,0,13,0
javacpp-1.2.7,13,13,12,1,0,12,0
javacpp-1.3,13,13,8,5,0,8,0
javacpp-1.3.2,14,14,3,11,0,3,0
javacpp-1.4,15,15,4,11,0,4,0
javacpp-1.4.2,16,16,3,13,0,3,0
javacpp-1.4.4,18,18,1,17,0,1,0
javacpp-1.5,18,18,3,15,0,3,0
javacpp-1.5.1-1,18,18,1,17,0,1,0
jpype-v0.5.4.5,4,1,4,0,3,1,0
jpype-v0.5.5.1,4,1,2,1,2,0,1
jpype-v0.5.5.4,4,2,0,2,0,0,2
jpype-v0.5.6,4,2,1,2,1,0,1
jpype-v0.5.7,5,3,1,3,1,0,1
jpype-v0.6.0,5,3,0,3,0,0,2
jpype-v0.6.1,5,3,2,2,1,1,1
jpype-v0.6.2,5,3,3,2,2,1,0
jpype-v0.6.3,5,3,1,3,1,0,1
jpype-v0.7,7,4,2,3,1,1,2
pljava-rel1_5_stable-base,50,19,5,18,4,1,27
pljava-V1_4_3,50,18,0,18,0,0,32
pljava-V1_5_0,48,18,0,18,0,0,30
pljava-V1_5_0b3,48,18,9,16,7,2,23
pljava-V1_5_1b1,46,17,0,17,0,0,29
pljava-V1_5_1b2,52,20,18,15,13,5,19
pljava-V1_5_2,52,20,3,19,2,1,30
pljava-V1_5_3,47,19,27,6,14,13,14
realm-java-v0.90.0,44,17,21,8,12,9,15
realm-java-v1.2.0,32,11,22,2,13,9,8
realm-java-v2.3.2,49,16,40,2,26,14,7
realm-java-v3.7.2,64,15,13,9,7,6,42
realm-java-v4.4.0,67,14,16,10,12,4,41
realm-java-v5.11.0,79,16,4,14,2,2,61
realm-java-v5.15.0,81,16,0,16,0,0,65
realm-java-v5.4.0,70,14,3,13,2,1,54
realm-java-v5.7.1,72,15,3,13,1,2,56
realm-java-v5.9.0,77,16,1,15,0,1,61
rocksdb-v5.0.2,86,42,46,27,31,15,13
rocksdb-v5.11.2,121,44,25,36,17,8,60
rocksdb-v5.14.3,123,44,11,41,8,3,71
rocksdb-v5.17.2,125,44,7,41,4,3,77
rocksdb-v5.18.3,130,46,43,33,30,13,54
rocksdb-v5.4.6,93,38,86,7,55,31,0
rocksdb-v5.6.2,93,37,33,25,21,12,35
rocksdb-v5.9.2,103,39,14,34,9,5,55
rocksdb-v6.1.1,152,50,1,49,0,1,102
rocksdb-v6.2.2,152,50,0,50,0,0,102
vlc-3.0.0,57,13,2,13,2,0,42
vlc-3.0.11,57,13,4,10,1,3,43
vlc-3.0.13,57,12,21,8,17,4,28
vlc-3.0.92,33,10,7,7,4,3,19
vlc-3.0.96,33,10,0,10,0,0,23
vlc-3.1.0,33,10,2,10,2,0,21
vlc-3.1.2,33,10,1,10,1,0,22
vlc-3.1.6,33,10,1,10,1,0,22
vlc-3.1.7,33,10,12,7,9,3,14
zstd-jni-v0.4.4,6,2,6,0,4,2,0
zstd-jni-v1.3.0-1,14,10,0,10,0,0,4
zstd-jni-v1.3.2-2,14,10,2,8,0,2,4
zstd-jni-v1.3.3-1,14,10,2,9,1,1,3
zstd-jni-v1.3.4-1,15,11,2,11,2,0,2
zstd-jni-v1.3.4-8,15,11,2,10,1,1,3
zstd-jni-v1.3.5-3,15,10,4,7,1,3,4
zstd-jni-v1.3.7-1,15,10,6,8,4,2,1
zstd-jni-v1.3.8-1,15,10,6,7,3,3,2
zstd-jni-v1.4.0-1,15,12,3,10,1,2,2
zstd-jni-v1.4.2-1,15,12,4,9,1,3,2
