JNI_File,NCOE,LRA1,NSL1,HCL1,MMM,TMS,UP,TMC,PEO1,ASMRV1,UNMI,UNMD,NURP1,NHE1,Changed
cloned_abidi/conscrypt-1.0.0.RC14/common/src/main/java/org/conscrypt/NativeCrypto.java,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/main/cpp/conscrypt/jniload.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/main/cpp/conscrypt/jniutil.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/main/cpp/conscrypt/native_crypto.cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/main/include/conscrypt/app_data.h,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/main/include/conscrypt/bio_input_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/main/include/conscrypt/bio_output_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/main/include/conscrypt/bio_stream.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/main/include/conscrypt/jniutil.h,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/main/include/conscrypt/native_crypto.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/unbundled/include/NetFd.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/unbundled/include/nativehelper/ScopedLocalRef.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/conscrypt-1.0.0.RC14/common/src/jni/unbundled/include/nativehelper/ScopedUtfChars.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
