JNI_File,NCOE,LRA1,NSL1,HCL1,MMM,TMS,UP,TMC,PEO1,ASMRV1,UNMI,UNMD,NURP1,NHE1,Changed
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/AclId.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/Backend.java,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/ErrorData.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/ExecutionPlan.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/HeapTupleHeader.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/JavaWrapper.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/Oid.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/PgSavepoint.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/Portal.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/Relation.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/SPI.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/Session.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/SubXactListener.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/TriggerData.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/Tuple.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/TupleDesc.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/internal/XactListener.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/jdbc/Invocation.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/jdbc/SQLInputFromTuple.java,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/jdbc/SQLOutputToChunk.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/pljava-V1_5_1b1/pljava/src/main/java/org/postgresql/pljava/jdbc/SingleRowReader.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
cloned_abidi/pljava-V1_5_1b1/pljava-so/src/main/c/Backend.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
