JNI_File,NCOE,LRA1,NSL1,HCL1,MMM,TMS,UP,TMC,PEO1,ASMRV1,UNMI,UNMD,NURP1,NHE1,Changed
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/AWindow.java,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/Dialog.java,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/LibVLC.java,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/Media.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/MediaDiscoverer.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/MediaList.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/MediaPlayer.java,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/RendererDiscoverer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/RendererItem.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/VLCObject.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/src/org/videolan/libvlc/util/VLCUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/medialibrary/src/org/videolan/medialibrary/Medialibrary.java,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1
cloned_abidi/vlc-3.0.92/medialibrary/src/org/videolan/medialibrary/media/Album.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
cloned_abidi/vlc-3.0.92/medialibrary/src/org/videolan/medialibrary/media/Artist.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cloned_abidi/vlc-3.0.92/medialibrary/src/org/videolan/medialibrary/media/Folder.java,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
cloned_abidi/vlc-3.0.92/medialibrary/src/org/videolan/medialibrary/media/Genre.java,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
cloned_abidi/vlc-3.0.92/medialibrary/src/org/videolan/medialibrary/media/MediaWrapper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cloned_abidi/vlc-3.0.92/medialibrary/src/org/videolan/medialibrary/media/Playlist.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cloned_abidi/vlc-3.0.92/libvlc/jni/libvlcjni-dialog.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/jni/libvlcjni-media.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/jni/libvlcjni-mediadiscoverer.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/jni/libvlcjni-medialist.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/jni/libvlcjni-mediaplayer.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/jni/libvlcjni-rendererdiscoverer.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/jni/libvlcjni-vlcobject.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/jni/libvlcjni-vlcobject.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/jni/libvlcjni.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/libvlc/jni/thumbnailer.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/medialibrary/jni/AndroidMediaLibrary.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/medialibrary/jni/AndroidMediaLibrary.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/medialibrary/jni/medialibrary.cpp,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1
cloned_abidi/vlc-3.0.92/medialibrary/jni/utils.cpp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloned_abidi/vlc-3.0.92/medialibrary/jni/utils.h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
