Project,FileName,LOC,CodeChurn,PrevFixing
conscrypt-1.0.0.RC2,.clang-format,15,0,1
conscrypt-1.0.0.RC2,.gitignore,22,30,2
conscrypt-1.0.0.RC2,.travis.yml,107,290,7
conscrypt-1.0.0.RC2,Android.bp,78,143,6
conscrypt-1.0.0.RC2,Android.mk,253,1133,81
conscrypt-1.0.0.RC2,BUILDING.md,79,143,3
conscrypt-1.0.0.RC2,CONTRIBUTING.md,26,55,2
conscrypt-1.0.0.RC2,Dockerfile,96,107,1
conscrypt-1.0.0.RC2,LICENSE,169,0,1
conscrypt-1.0.0.RC2,MODULE_LICENSE_APACHE2,0,0,1
conscrypt-1.0.0.RC2,NOTICE,23,206,3
conscrypt-1.0.0.RC2,PREUPLOAD.cfg,3,9,3
conscrypt-1.0.0.RC2,README.md,117,205,4
conscrypt-1.0.0.RC2,RELEASING.md,210,257,3
conscrypt-1.0.0.RC2,appveyor.yml,97,169,4
conscrypt-1.0.0.RC2,build.gradle,204,524,22
conscrypt-1.0.0.RC2,gradlew,151,188,2
conscrypt-1.0.0.RC2,gradlew.bat,61,84,1
conscrypt-1.0.0.RC2,jarjar-rules.txt,1,1,1
conscrypt-1.0.0.RC2,settings.gradle,15,24,6
conscrypt-1.0.0.RC2,android-stub/build.gradle,7,10,2
conscrypt-1.0.0.RC2,android/.gitignore,1,1,1
conscrypt-1.0.0.RC2,android/CMakeLists.txt,24,28,2
conscrypt-1.0.0.RC2,android/build.gradle,171,302,11
conscrypt-1.0.0.RC2,android/lint.xml,15,17,1
conscrypt-1.0.0.RC2,android/proguard-rules.pro,13,15,1
conscrypt-1.0.0.RC2,constants/build.gradle,60,73,5
conscrypt-1.0.0.RC2,licenses/LICENSE.harmony.txt,169,0,1
conscrypt-1.0.0.RC2,licenses/LICENSE.netty.txt,169,0,1
conscrypt-1.0.0.RC2,openjdk-benchmarks/build.gradle,45,76,5
conscrypt-1.0.0.RC2,openjdk-uber/build.gradle,59,67,2
conscrypt-1.0.0.RC2,openjdk/build.gradle,235,598,22
conscrypt-1.0.0.RC2,testing/build.gradle,17,8,2
conscrypt-1.0.0.RC2,gradle/wrapper/gradle-wrapper.jar,1310,0,3
conscrypt-1.0.0.RC2,gradle/wrapper/gradle-wrapper.properties,6,14,3
conscrypt-1.0.0.RC2,android/src/main/AndroidManifest.xml,4,14,2
conscrypt-1.0.0.RC2,constants/src/gen/cpp/generate_constants.cpp,129,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/README,16,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/blacklist_test_chain.pem,35,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/blacklist_test_valid_ca.pem,17,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/blacklist_test_valid_chain.pem,87,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/ca-cert.pem,60,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/cert-ct-embedded.pem,64,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/cert-ct-poisoned.pem,62,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/cert-key.pem,15,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/cert.pem,59,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/ct-server-key-public.pem,4,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/ct-signed-timestamp-list,5,0,1
conscrypt-1.0.0.RC2,openjdk/src/test/resources/ct-signed-timestamp-list-invalid,4,0,1
