Project,FileName,LOC,CodeChurn,PrevFixing
java-smt-0.60,.checkstyle,18,23,0
java-smt-0.60,.classpath,28,58,0
java-smt-0.60,.factorypath.template,3,3,0
java-smt-0.60,.gitignore,38,60,1
java-smt-0.60,.project,33,33,0
java-smt-0.60,.travis.yml,27,31,3
java-smt-0.60,CHANGELOG.md,27,30,1
java-smt-0.60,Developers.md,49,75,0
java-smt-0.60,JavaSMT.iml,416,496,2
java-smt-0.60,License_Apache-2.0.txt,169,202,0
java-smt-0.60,README.md,196,287,2
java-smt-0.60,build.xml,59,129,1
java-smt-0.60,ivy.xml,101,332,10
java-smt-0.60,ivysettings.xml,19,20,0
java-smt-0.60,pom_template.xml,46,51,0
java-smt-0.60,.externalToolBuilders/Ant Builder.launch,23,23,0
java-smt-0.60,.idea/.name,1,1,0
java-smt-0.60,.idea/ant.xml,6,6,1
java-smt-0.60,.idea/checkstyle-idea.xml,17,19,1
java-smt-0.60,.idea/codeStyleSettings.xml,413,421,3
java-smt-0.60,.idea/compiler.xml,22,22,0
java-smt-0.60,.idea/encodings.xml,6,6,0
java-smt-0.60,.idea/junitgenerator-prj-settings.xml,6,6,1
java-smt-0.60,.idea/misc.xml,43,47,0
java-smt-0.60,.idea/modules.xml,8,8,0
java-smt-0.60,.idea/vcs.xml,6,6,0
java-smt-0.60,.settings/FindBugs.exclude.xml,10,10,1
java-smt-0.60,.settings/checkstyle.test.xml,190,207,2
java-smt-0.60,.settings/checkstyle.xml,207,244,2
java-smt-0.60,.settings/org.eclipse.core.resources.prefs,3,3,0
java-smt-0.60,.settings/org.eclipse.jdt.apt.core.prefs,4,4,0
java-smt-0.60,.settings/org.eclipse.jdt.core.prefs,413,435,1
java-smt-0.60,.settings/org.eclipse.jdt.ui.prefs,131,149,2
java-smt-0.60,build/build-checkstyle.xml,35,63,0
java-smt-0.60,build/build-compile.xml,66,83,4
java-smt-0.60,build/build-documentation.xml,46,63,1
java-smt-0.60,build/build-findbugs.xml,54,70,0
java-smt-0.60,build/build-format-source.xml,51,77,0
java-smt-0.60,build/build-ivy.xml,74,108,2
java-smt-0.60,build/build-jar.xml,47,67,0
java-smt-0.60,build/build-junit.xml,84,96,0
java-smt-0.60,build/build-maven-publish.xml,51,60,0
java-smt-0.60,build/build-publish-solvers.xml,171,257,2
java-smt-0.60,build/build-publish.xml,26,35,0
java-smt-0.60,build/build-version.xml,17,21,1
java-smt-0.60,build/checkstyle.xsl,158,179,0
java-smt-0.60,build/deploy-gh-pages.sh,20,25,0
java-smt-0.60,build/google-java-format-diff.py,106,126,0
java-smt-0.60,doc/javadoc_overview.html,9,17,1
java-smt-0.60,solvers_ivy_conf/ivy_cvc4.xml,23,35,1
java-smt-0.60,solvers_ivy_conf/ivy_mathsat.xml,19,26,1
java-smt-0.60,solvers_ivy_conf/ivy_optimathsat.xml,19,26,1
java-smt-0.60,solvers_ivy_conf/ivy_z3.xml,22,28,0
java-smt-0.60,website/index.html,10,11,0
java-smt-0.60,.idea/copyright/JavaSMT.xml,6,6,0
java-smt-0.60,.idea/copyright/profiles_settings.xml,3,5,0
java-smt-0.60,.idea/inspectionProfiles/Project_Default.xml,57,61,0
java-smt-0.60,.idea/inspectionProfiles/profiles_settings.xml,7,7,0
java-smt-0.60,lib/native/source/get_jni_headers.sh,16,17,0
java-smt-0.60,lib/native/x86_64-linux/libmathsat5j.so,1,1,0
java-smt-0.60,lib/native/x86_64-linux/liboptimathsat5j.so,1,1,0
java-smt-0.60,lib/native/x86_64-linux/libz3.so,1,1,0
java-smt-0.60,lib/native/x86_64-linux/libz3j.so,1,1,0
java-smt-0.60,lib/native/x86_64-linux/libz3java.so,1,1,0
java-smt-0.60,lib/native/source/libmathsat5j/compile.sh,95,126,0
java-smt-0.60,lib/native/source/libmathsat5j/optimization.c,116,157,0
