Project,FileName,LOC,CodeChurn,PrevFixing
javacpp-0.5,LICENSE.txt,295,357,0
javacpp-0.5,README.txt,377,701,25
javacpp-0.5,build.xml,80,93,0
javacpp-0.5,pom.xml,176,214,5
javacpp-0.5,nbproject/build-impl.xml,886,889,0
javacpp-0.5,nbproject/genfiles.properties,8,8,0
javacpp-0.5,nbproject/project.properties,74,76,0
javacpp-0.5,nbproject/project.xml,16,16,0
javacpp-0.5,src/main/assembly/bin.xml,30,30,0
javacpp-0.5,src/main/assembly/src.xml,26,27,0
javacpp-0.5,src/main/java/com/googlecode/javacpp/BoolPointer.java,74,113,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/BuildMojo.java,161,226,4
javacpp-0.5,src/main/java/com/googlecode/javacpp/Builder.java,821,2075,13
javacpp-0.5,src/main/java/com/googlecode/javacpp/BytePointer.java,214,271,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/CLongPointer.java,75,114,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/CharPointer.java,166,218,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/DoublePointer.java,123,168,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/FloatPointer.java,123,168,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/FunctionPointer.java,44,81,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/Generator.java,2387,4733,25
javacpp-0.5,src/main/java/com/googlecode/javacpp/IntPointer.java,170,222,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/Loader.java,686,1090,8
javacpp-0.5,src/main/java/com/googlecode/javacpp/LongPointer.java,123,168,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/Pointer.java,489,782,7
javacpp-0.5,src/main/java/com/googlecode/javacpp/PointerPointer.java,240,332,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/ShortPointer.java,123,168,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/SizeTPointer.java,74,111,3
javacpp-0.5,src/main/java/com/googlecode/javacpp/package-info.java,4,4,1
javacpp-0.5,src/main/java/com/googlecode/javacpp/annotation/Adapter.java,37,57,4
