Project,FileName,LOC,CodeChurn,PrevFixing
jpype-v0.5.4.5,.gitignore,2,2,0
jpype-v0.5.4.5,.travis.yml,12,18,0
jpype-v0.5.4.5,AUTHORS,9,12,0
jpype-v0.5.4.5,CHANGELOG.rst,10,26,2
jpype-v0.5.4.5,LICENSE,137,167,0
jpype-v0.5.4.5,MANIFEST.in,3,5,2
jpype-v0.5.4.5,PKG-INFO,12,16,0
jpype-v0.5.4.5,README.rst,68,109,3
jpype-v0.5.4.5,setup.py,122,828,6
jpype-v0.5.4.5,examples/rmi.py,25,32,0
jpype-v0.5.4.5,test/buf_leak_test.py,19,26,0
jpype-v0.5.4.5,test/buf_leak_test3.py,42,55,0
jpype-v0.5.4.5,test/build.xml,16,18,0
jpype-v0.5.4.5,test/convtest.py,88,117,0
jpype-v0.5.4.5,test/findjvm.py,19,20,0
jpype-v0.5.4.5,test/java_dom.py,44,56,0
jpype-v0.5.4.5,test/java_sax.py,56,73,0
jpype-v0.5.4.5,test/lists_and_maps.py,22,31,0
jpype-v0.5.4.5,test/python_dom.py,39,49,0
jpype-v0.5.4.5,test/stub.py,22,23,0
jpype-v0.5.4.5,test/test_awt.py,12,16,0
jpype-v0.5.4.5,test/testlucene.py,20,23,0
jpype-v0.5.4.5,test/testsuite.py,44,55,0
jpype-v0.5.4.5,examples/jms/README.TXT,33,40,0
jpype-v0.5.4.5,examples/jms/testJpypePublisher.py,27,35,0
jpype-v0.5.4.5,examples/jms/testJpypeSubscriber.py,35,42,0
jpype-v0.5.4.5,examples/linux/README.TXT,12,20,0
jpype-v0.5.4.5,examples/linux/findjvm.py,19,20,0
jpype-v0.5.4.5,examples/linux/jpype.sh,23,23,0
jpype-v0.5.4.5,test/jpypetest/__init__.py,17,18,0
jpype-v0.5.4.5,test/jpypetest/array.py,88,114,0
jpype-v0.5.4.5,test/jpypetest/attr.py,151,188,0
jpype-v0.5.4.5,test/jpypetest/common.py,24,30,0
jpype-v0.5.4.5,test/jpypetest/exc.py,62,72,0
jpype-v0.5.4.5,test/jpypetest/mro.py,23,25,0
jpype-v0.5.4.5,test/jpypetest/numeric.py,38,43,0
jpype-v0.5.4.5,test/jpypetest/objectwrapper.py,29,33,0
jpype-v0.5.4.5,test/jpypetest/proxy.py,70,87,0
jpype-v0.5.4.5,test/jpypetest/serial.py,39,45,0
jpype-v0.5.4.5,test/sample/big.xml,2136,2137,0
jpype-v0.5.4.5,src/native/common/jp_array.cpp,92,115,0
jpype-v0.5.4.5,src/native/common/jp_arrayclass.cpp,140,173,0
jpype-v0.5.4.5,src/native/common/jp_class.cpp,515,623,0
jpype-v0.5.4.5,src/native/common/jp_classbase.cpp,23,29,0
jpype-v0.5.4.5,src/native/common/jp_env.cpp,334,402,0
jpype-v0.5.4.5,src/native/common/jp_field.cpp,114,147,0
jpype-v0.5.4.5,src/native/common/jp_invocationhandler.cpp,53,54,0
jpype-v0.5.4.5,src/native/common/jp_javaenv.cpp,271,334,1
jpype-v0.5.4.5,src/native/common/jp_javaenv_autogen.cpp,1291,1760,0
jpype-v0.5.4.5,src/native/common/jp_jniutil.cpp,660,808,0
jpype-v0.5.4.5,src/native/common/jp_method.cpp,203,235,0
jpype-v0.5.4.5,src/native/common/jp_methodoverload.cpp,267,338,0
jpype-v0.5.4.5,src/native/common/jp_monitor.cpp,23,30,0
jpype-v0.5.4.5,src/native/common/jp_object.cpp,87,111,0
jpype-v0.5.4.5,src/native/common/jp_objecttypes.cpp,342,447,0
jpype-v0.5.4.5,src/native/common/jp_platform_linux.cpp,18,26,0
jpype-v0.5.4.5,src/native/common/jp_platform_win32.cpp,18,25,0
jpype-v0.5.4.5,src/native/common/jp_primitivetypes.cpp,765,920,0
jpype-v0.5.4.5,src/native/common/jp_primitivetypes_autogen.cpp,846,1070,0
jpype-v0.5.4.5,src/native/common/jp_proxy.cpp,188,246,0
jpype-v0.5.4.5,src/native/common/jp_reference.cpp,50,50,0
jpype-v0.5.4.5,src/native/common/jp_referencequeue.cpp,98,99,0
jpype-v0.5.4.5,src/native/common/jp_typemanager.cpp,127,158,0
jpype-v0.5.4.5,src/native/common/jp_typename.cpp,153,180,0
jpype-v0.5.4.5,src/native/common/jp_voidtype.cpp,85,106,0
jpype-v0.5.4.5,src/native/python/jpype_javaarray.cpp,176,223,0
jpype-v0.5.4.5,src/native/python/jpype_javaclass.cpp,72,100,0
jpype-v0.5.4.5,src/native/python/jpype_javanio.cpp,40,54,0
jpype-v0.5.4.5,src/native/python/jpype_module.cpp,286,351,0
jpype-v0.5.4.5,src/native/python/jpype_python.cpp,202,269,0
jpype-v0.5.4.5,src/native/python/py_class.cpp,437,539,0
jpype-v0.5.4.5,src/native/python/py_field.cpp,184,235,0
jpype-v0.5.4.5,src/native/python/py_hostenv.cpp,506,650,0
jpype-v0.5.4.5,src/native/python/py_method.cpp,312,385,0
jpype-v0.5.4.5,src/native/python/py_monitor.cpp,81,97,0
jpype-v0.5.4.5,src/native/python/pythonenv.cpp,378,451,0
jpype-v0.5.4.5,src/python/jpype/JClassUtil.py,21,24,0
jpype-v0.5.4.5,src/python/jpype/__init__.py,32,38,0
jpype-v0.5.4.5,src/python/jpype/_core.py,94,116,0
jpype-v0.5.4.5,src/python/jpype/_darwin.py,19,20,0
jpype-v0.5.4.5,src/python/jpype/_gui.py,34,40,0
jpype-v0.5.4.5,src/python/jpype/_jarray.py,122,169,0
jpype-v0.5.4.5,src/python/jpype/_jclass.py,151,509,0
jpype-v0.5.4.5,src/python/jpype/_jcollection.py,220,260,0
jpype-v0.5.4.5,src/python/jpype/_jexception.py,59,74,0
jpype-v0.5.4.5,src/python/jpype/_jobject.py,27,31,0
jpype-v0.5.4.5,src/python/jpype/_jpackage.py,44,53,0
jpype-v0.5.4.5,src/python/jpype/_jproxy.py,51,61,0
jpype-v0.5.4.5,src/python/jpype/_jwrapper.py,69,93,0
jpype-v0.5.4.5,src/python/jpype/_linux.py,77,181,0
jpype-v0.5.4.5,src/python/jpype/_properties.py,36,44,0
jpype-v0.5.4.5,src/python/jpype/_pykeywords.py,24,46,0
jpype-v0.5.4.5,src/python/jpype/_refdaemon.py,27,32,0
jpype-v0.5.4.5,src/python/jpype/_windows.py,29,34,0
jpype-v0.5.4.5,src/python/jpype/findjvm.py,19,20,0
jpype-v0.5.4.5,src/python/jpype/nio.py,23,26,0
jpype-v0.5.4.5,src/python/jpype/reflect.py,38,46,0
jpype-v0.5.4.5,src/python/jpypex/__init__.py,17,19,0
jpype-v0.5.4.5,src/native/common/include/jp_array.h,49,62,0
jpype-v0.5.4.5,src/native/common/include/jp_arrayclass.h,35,45,0
jpype-v0.5.4.5,src/native/common/include/jp_class.h,85,107,0
jpype-v0.5.4.5,src/native/common/include/jp_classbase.h,40,50,0
jpype-v0.5.4.5,src/native/common/include/jp_env.h,103,132,0
jpype-v0.5.4.5,src/native/common/include/jp_field.h,58,74,0
jpype-v0.5.4.5,src/native/common/include/jp_hostenv.h,117,153,0
jpype-v0.5.4.5,src/native/common/include/jp_invocationhandler.h,17,23,0
jpype-v0.5.4.5,src/native/common/include/jp_javaenv.h,113,150,0
jpype-v0.5.4.5,src/native/common/include/jp_javaenv_autogen.h,329,468,0
jpype-v0.5.4.5,src/native/common/include/jp_jniutil.h,144,184,0
jpype-v0.5.4.5,src/native/common/include/jp_method.h,52,71,0
jpype-v0.5.4.5,src/native/common/include/jp_methodoverload.h,58,77,0
jpype-v0.5.4.5,src/native/common/include/jp_monitor.h,23,30,0
jpype-v0.5.4.5,src/native/common/include/jp_object.h,36,48,0
jpype-v0.5.4.5,src/native/common/include/jp_objectbase.h,21,27,0
jpype-v0.5.4.5,src/native/common/include/jp_objecttypes.h,92,117,0
jpype-v0.5.4.5,src/native/common/include/jp_platform_linux.h,53,62,0
jpype-v0.5.4.5,src/native/common/include/jp_platform_win32.h,61,75,0
jpype-v0.5.4.5,src/native/common/include/jp_primitivetypes.h,298,365,0
jpype-v0.5.4.5,src/native/common/include/jp_proxy.h,47,62,0
jpype-v0.5.4.5,src/native/common/include/jp_reference.h,17,23,0
jpype-v0.5.4.5,src/native/common/include/jp_referencequeue.h,17,23,0
jpype-v0.5.4.5,src/native/common/include/jp_type.h,57,75,0
jpype-v0.5.4.5,src/native/common/include/jp_typemanager.h,38,50,0
jpype-v0.5.4.5,src/native/common/include/jp_typename.h,92,113,0
jpype-v0.5.4.5,src/native/common/include/jp_utility.h,117,141,0
jpype-v0.5.4.5,src/native/common/include/jpype.h,97,128,0
