Project,FileName,LOC,CodeChurn,PrevFixing
vlc-android-3.0.0,.gitattributes,1,1,0
vlc-android-3.0.0,.gitignore,56,111,7
vlc-android-3.0.0,.mailmap,9,9,1
vlc-android-3.0.0,COPYING,237,280,0
vlc-android-3.0.0,NEWS,1429,2214,11
vlc-android-3.0.0,README.md,19,30,0
vlc-android-3.0.0,build.gradle,49,357,4
vlc-android-3.0.0,compile-libvlc.sh,799,2553,60
vlc-android-3.0.0,compile.sh,301,2979,96
vlc-android-3.0.0,gdb.sh,36,166,5
vlc-android-3.0.0,settings.gradle,3,19,2
vlc-android-3.0.0,android-libs/dump-libs.sh,7,0,0
vlc-android-3.0.0,android-libs/libbinder.symbols,383,383,0
vlc-android-3.0.0,android-libs/libcutils.symbols,33,33,0
vlc-android-3.0.0,android-libs/libhardware.symbols,1,1,0
vlc-android-3.0.0,android-libs/libmedia.symbols,309,309,0
vlc-android-3.0.0,android-libs/libstagefright.symbols,148,148,0
vlc-android-3.0.0,android-libs/libui.symbols,106,106,0
vlc-android-3.0.0,android-libs/libutils.symbols,224,224,0
vlc-android-3.0.0,api/.gitignore,1,1,0
vlc-android-3.0.0,api/build.gradle,134,182,2
vlc-android-3.0.0,api/proguard-rules.pro,15,17,0
vlc-android-3.0.0,java-libs/.gitignore,4,4,0
vlc-android-3.0.0,libvlc/.gitignore,7,24,0
vlc-android-3.0.0,libvlc/AndroidManifest.xml,5,17,3
vlc-android-3.0.0,libvlc/build.gradle,94,353,11
vlc-android-3.0.0,libvlc/project.properties,16,17,0
vlc-android-3.0.0,medialibrary/AndroidManifest.xml,6,9,0
vlc-android-3.0.0,medialibrary/build.gradle,64,122,2
vlc-android-3.0.0,pkgs/libvlc.pc.in,7,8,0
vlc-android-3.0.0,pkgs/libvlcpp.pc.in,7,8,0
vlc-android-3.0.0,vlc-android/.gitignore,7,26,0
vlc-android-3.0.0,vlc-android/AndroidManifest.xml,547,2356,61
vlc-android-3.0.0,vlc-android/build.gradle,216,1270,23
vlc-android-3.0.0,vlc-android/proguard.cfg,52,146,10
vlc-android-3.0.0,vlc-android/project.properties,15,36,7
vlc-android-3.0.0,java-libs/appcompat/AndroidManifest.xml,17,20,0
vlc-android-3.0.0,java-libs/appcompat/README.txt,7,10,0
vlc-android-3.0.0,java-libs/appcompat/build.xml,75,92,0
vlc-android-3.0.0,java-libs/appcompat/lint.xml,3,3,0
vlc-android-3.0.0,java-libs/appcompat/proguard-project.txt,18,20,0
vlc-android-3.0.0,java-libs/appcompat/project.properties,14,17,1
